N,itm,Date,u,v
1,1,2024-08-31 14:30:00,0.42,-0.28
2,2,2024-08-31 15:30:00,0.25,-0.18
3,3,2024-08-31 16:30:00,0.15,-0.05
4,4,2024-08-31 17:30:00,0.13,0.04
5,5,2024-08-31 18:30:00,0.16,0.08
6,6,2024-08-31 19:30:00,0.29,0.07
7,7,2024-08-31 20:30:00,0.49,-0.06
8,8,2024-08-31 21:30:00,0.77,-0.26
9,9,2024-08-31 22:30:00,1.21,-0.43
10,10,2024-08-31 23:30:00,1.69,-0.53
11,11,2024-09-01 00:30:00,2.07,-0.62
12,12,2024-09-01 01:30:00,2.17,-0.72
13,13,2024-09-01 02:30:00,1.91,-0.63
14,14,2024-09-01 03:30:00,1.67,-0.54
15,15,2024-09-01 04:30:00,1.49,-0.49
16,16,2024-09-01 05:30:00,1.33,-0.44
17,17,2024-09-01 06:30:00,1.19,-0.42
18,18,2024-09-01 07:30:00,1.08,-0.41
19,19,2024-09-01 08:30:00,1.0,-0.4
20,20,2024-09-01 09:30:00,0.97,-0.42
21,21,2024-09-01 10:30:00,1.0,-0.44
22,22,2024-09-01 11:30:00,1.05,-0.47
23,23,2024-09-01 12:30:00,1.04,-0.45
24,24,2024-09-01 13:30:00,0.97,-0.42
25,25,2024-09-01 14:30:00,0.87,-0.38
26,26,2024-09-01 15:30:00,0.69,-0.32
27,27,2024-09-01 16:30:00,0.48,-0.26
28,28,2024-09-01 17:30:00,0.32,-0.2
29,29,2024-09-01 18:30:00,0.2,-0.13
30,30,2024-09-01 19:30:00,0.21,-0.09
31,31,2024-09-01 20:30:00,0.32,-0.08
32,32,2024-09-01 21:30:00,0.52,-0.14
33,33,2024-09-01 22:30:00,0.8,-0.25
34,34,2024-09-01 23:30:00,1.18,-0.36
35,35,2024-09-02 00:30:00,1.54,-0.47
36,36,2024-09-02 01:30:00,1.88,-0.58
37,37,2024-09-02 02:30:00,1.96,-0.63
38,38,2024-09-02 03:30:00,1.91,-0.6
39,39,2024-09-02 04:30:00,1.67,-0.53
40,40,2024-09-02 05:30:00,1.51,-0.47
41,41,2024-09-02 06:30:00,1.43,-0.42
42,42,2024-09-02 07:30:00,1.37,-0.42
43,43,2024-09-02 08:30:00,1.26,-0.4
44,44,2024-09-02 09:30:00,1.19,-0.4
45,45,2024-09-02 10:30:00,1.16,-0.41
46,46,2024-09-02 11:30:00,1.19,-0.44
47,47,2024-09-02 12:30:00,1.15,-0.46
48,48,2024-09-02 13:30:00,1.06,-0.46
49,49,2024-09-02 14:30:00,0.92,-0.43
50,50,2024-09-02 15:30:00,0.78,-0.39
51,51,2024-09-02 16:30:00,0.59,-0.3
52,52,2024-09-02 17:30:00,0.41,-0.19
53,53,2024-09-02 18:30:00,0.3,-0.09
54,54,2024-09-02 19:30:00,0.32,-0.04
55,55,2024-09-02 20:30:00,0.41,-0.03
56,56,2024-09-02 21:30:00,0.56,-0.09
57,57,2024-09-02 22:30:00,0.75,-0.2
58,58,2024-09-02 23:30:00,1.02,-0.32
59,59,2024-09-03 00:30:00,1.32,-0.41
60,60,2024-09-03 01:30:00,1.64,-0.51
61,61,2024-09-03 02:30:00,1.77,-0.6
62,62,2024-09-03 03:30:00,1.75,-0.63
63,63,2024-09-03 04:30:00,1.58,-0.61
64,64,2024-09-03 05:30:00,1.3,-0.57
65,65,2024-09-03 06:30:00,1.09,-0.53
66,66,2024-09-03 07:30:00,0.91,-0.45
67,67,2024-09-03 08:30:00,0.75,-0.37
68,68,2024-09-03 09:30:00,0.75,-0.36
69,69,2024-09-03 10:30:00,0.78,-0.36
70,70,2024-09-03 11:30:00,0.92,-0.41
71,71,2024-09-03 12:30:00,1.02,-0.43
72,72,2024-09-03 13:30:00,1.1,-0.44
73,73,2024-09-03 14:30:00,1.14,-0.43
74,74,2024-09-03 15:30:00,1.08,-0.42
75,75,2024-09-03 16:30:00,0.89,-0.39
76,76,2024-09-03 17:30:00,0.67,-0.35
77,77,2024-09-03 18:30:00,0.42,-0.29
78,78,2024-09-03 19:30:00,0.27,-0.2
79,79,2024-09-03 20:30:00,0.2,-0.11
80,80,2024-09-03 21:30:00,0.26,-0.06
81,81,2024-09-03 22:30:00,0.43,-0.09
82,82,2024-09-03 23:30:00,0.67,-0.19
83,83,2024-09-04 00:30:00,0.91,-0.28
84,84,2024-09-04 01:30:00,1.23,-0.39
85,85,2024-09-04 02:30:00,1.4,-0.47
86,86,2024-09-04 03:30:00,1.57,-0.55
87,87,2024-09-04 04:30:00,1.54,-0.54
88,88,2024-09-04 05:30:00,1.43,-0.53
89,89,2024-09-04 06:30:00,1.19,-0.47
90,90,2024-09-04 07:30:00,0.96,-0.43
91,91,2024-09-04 08:30:00,0.78,-0.4
92,92,2024-09-04 09:30:00,0.68,-0.37
93,93,2024-09-04 10:30:00,0.66,-0.35
94,94,2024-09-04 11:30:00,0.75,-0.38
95,95,2024-09-04 12:30:00,0.86,-0.41
96,96,2024-09-04 13:30:00,0.98,-0.46
97,97,2024-09-04 14:30:00,1.04,-0.48
98,98,2024-09-04 15:30:00,1.04,-0.49
99,99,2024-09-04 16:30:00,0.99,-0.47
100,100,2024-09-04 17:30:00,0.89,-0.43
101,101,2024-09-04 18:30:00,0.67,-0.35
102,102,2024-09-04 19:30:00,0.49,-0.29
103,103,2024-09-04 20:30:00,0.35,-0.22
104,104,2024-09-04 21:30:00,0.35,-0.19
105,105,2024-09-04 22:30:00,0.45,-0.2
106,106,2024-09-04 23:30:00,0.62,-0.26
107,107,2024-09-05 00:30:00,0.81,-0.34
108,108,2024-09-05 01:30:00,1.06,-0.42
109,109,2024-09-05 02:30:00,1.29,-0.5
110,110,2024-09-05 03:30:00,1.45,-0.56
111,111,2024-09-05 04:30:00,1.43,-0.55
112,112,2024-09-05 05:30:00,1.38,-0.53
113,113,2024-09-05 06:30:00,1.21,-0.47
114,114,2024-09-05 07:30:00,1.0,-0.43
115,115,2024-09-05 08:30:00,0.84,-0.39
116,116,2024-09-05 09:30:00,0.77,-0.37
117,117,2024-09-05 10:30:00,0.79,-0.38
118,118,2024-09-05 11:30:00,0.9,-0.42
119,119,2024-09-05 12:30:00,1.02,-0.44
120,120,2024-09-05 13:30:00,1.22,-0.48
121,121,2024-09-05 14:30:00,1.42,-0.52
122,122,2024-09-05 15:30:00,1.51,-0.53
123,123,2024-09-05 16:30:00,1.51,-0.5
124,124,2024-09-05 17:30:00,1.47,-0.47
125,125,2024-09-05 18:30:00,1.34,-0.43
126,126,2024-09-05 19:30:00,1.17,-0.39
127,127,2024-09-05 20:30:00,0.98,-0.37
128,128,2024-09-05 21:30:00,0.86,-0.35
129,129,2024-09-05 22:30:00,0.81,-0.35
130,130,2024-09-05 23:30:00,0.87,-0.38
131,131,2024-09-06 00:30:00,0.95,-0.39
132,132,2024-09-06 01:30:00,1.07,-0.41
133,133,2024-09-06 02:30:00,1.19,-0.45
134,134,2024-09-06 03:30:00,1.31,-0.51
135,135,2024-09-06 04:30:00,1.27,-0.52
136,136,2024-09-06 05:30:00,1.18,-0.51
137,137,2024-09-06 06:30:00,0.98,-0.44
138,138,2024-09-06 07:30:00,0.78,-0.38
139,139,2024-09-06 08:30:00,0.59,-0.33
140,140,2024-09-06 09:30:00,0.49,-0.29
141,141,2024-09-06 10:30:00,0.51,-0.28
142,142,2024-09-06 11:30:00,0.63,-0.33
143,143,2024-09-06 12:30:00,0.79,-0.39
144,144,2024-09-06 13:30:00,1.0,-0.44
145,145,2024-09-06 14:30:00,1.19,-0.47
146,146,2024-09-06 15:30:00,1.38,-0.54
147,147,2024-09-06 16:30:00,1.49,-0.6
148,148,2024-09-06 17:30:00,1.5,-0.62
149,149,2024-09-06 18:30:00,1.4,-0.59
150,150,2024-09-06 19:30:00,1.27,-0.55
151,151,2024-09-06 20:30:00,1.07,-0.49
152,152,2024-09-06 21:30:00,0.93,-0.46
153,153,2024-09-06 22:30:00,0.85,-0.43
154,154,2024-09-06 23:30:00,0.85,-0.42
155,155,2024-09-07 00:30:00,0.9,-0.43
156,156,2024-09-07 01:30:00,1.01,-0.46
157,157,2024-09-07 02:30:00,1.09,-0.47
158,158,2024-09-07 03:30:00,1.19,-0.5
159,159,2024-09-07 04:30:00,1.2,-0.5
160,160,2024-09-07 05:30:00,1.12,-0.48
161,161,2024-09-07 06:30:00,0.98,-0.44
162,162,2024-09-07 07:30:00,0.81,-0.39
163,163,2024-09-07 08:30:00,0.61,-0.33
164,164,2024-09-07 09:30:00,0.49,-0.29
165,165,2024-09-07 10:30:00,0.43,-0.25
166,166,2024-09-07 11:30:00,0.51,-0.25
167,167,2024-09-07 12:30:00,0.66,-0.29
168,168,2024-09-07 13:30:00,0.89,-0.35
169,169,2024-09-07 14:30:00,1.14,-0.41
170,170,2024-09-07 15:30:00,1.43,-0.51
171,171,2024-09-07 16:30:00,1.68,-0.58
172,172,2024-09-07 17:30:00,1.78,-0.6
173,173,2024-09-07 18:30:00,1.77,-0.58
174,174,2024-09-07 19:30:00,1.69,-0.57
175,175,2024-09-07 20:30:00,1.52,-0.55
176,176,2024-09-07 21:30:00,1.34,-0.52
177,177,2024-09-07 22:30:00,1.14,-0.49
178,178,2024-09-07 23:30:00,1.02,-0.47
179,179,2024-09-08 00:30:00,0.95,-0.45
180,180,2024-09-08 01:30:00,0.94,-0.45
181,181,2024-09-08 02:30:00,0.93,-0.44
182,182,2024-09-08 03:30:00,0.94,-0.45
183,183,2024-09-08 04:30:00,0.92,-0.44
184,184,2024-09-08 05:30:00,0.84,-0.41
185,185,2024-09-08 06:30:00,0.73,-0.37
186,186,2024-09-08 07:30:00,0.59,-0.31
187,187,2024-09-08 08:30:00,0.44,-0.25
188,188,2024-09-08 09:30:00,0.36,-0.19
189,189,2024-09-08 10:30:00,0.32,-0.15
190,190,2024-09-08 11:30:00,0.38,-0.15
191,191,2024-09-08 12:30:00,0.5,-0.2
192,192,2024-09-08 13:30:00,0.68,-0.26
193,193,2024-09-08 14:30:00,0.96,-0.33
194,194,2024-09-08 15:30:00,1.31,-0.44
195,195,2024-09-08 16:30:00,1.62,-0.56
196,196,2024-09-08 17:30:00,1.86,-0.64
197,197,2024-09-08 18:30:00,1.89,-0.64
198,198,2024-09-08 19:30:00,1.83,-0.62
199,199,2024-09-08 20:30:00,1.69,-0.61
200,200,2024-09-08 21:30:00,1.52,-0.59
201,201,2024-09-08 22:30:00,1.37,-0.56
202,202,2024-09-08 23:30:00,1.21,-0.53
203,203,2024-09-09 00:30:00,1.08,-0.5
204,204,2024-09-09 01:30:00,0.99,-0.48
205,205,2024-09-09 02:30:00,0.91,-0.45
206,206,2024-09-09 03:30:00,0.85,-0.43
207,207,2024-09-09 04:30:00,0.78,-0.4
208,208,2024-09-09 05:30:00,0.69,-0.37
209,209,2024-09-09 06:30:00,0.57,-0.32
210,210,2024-09-09 07:30:00,0.43,-0.25
211,211,2024-09-09 08:30:00,0.31,-0.17
212,212,2024-09-09 09:30:00,0.21,-0.09
213,213,2024-09-09 10:30:00,0.14,-0.02
214,214,2024-09-09 11:30:00,0.15,0.02
215,215,2024-09-09 12:30:00,0.22,0.03
216,216,2024-09-09 13:30:00,0.38,-0.03
217,217,2024-09-09 14:30:00,0.57,-0.14
218,218,2024-09-09 15:30:00,0.79,-0.27
219,219,2024-09-09 16:30:00,1.12,-0.38
220,220,2024-09-09 17:30:00,1.46,-0.47
221,221,2024-09-09 18:30:00,1.73,-0.56
222,222,2024-09-09 19:30:00,1.8,-0.59
223,223,2024-09-09 20:30:00,1.69,-0.56
224,224,2024-09-09 21:30:00,1.57,-0.54
225,225,2024-09-09 22:30:00,1.46,-0.55
226,226,2024-09-09 23:30:00,1.34,-0.53
227,227,2024-09-10 00:30:00,1.25,-0.52
228,228,2024-09-10 01:30:00,1.21,-0.51
229,229,2024-09-10 02:30:00,1.12,-0.49
230,230,2024-09-10 03:30:00,1.05,-0.49
231,231,2024-09-10 04:30:00,0.98,-0.48
232,232,2024-09-10 05:30:00,0.9,-0.45
233,233,2024-09-10 06:30:00,0.74,-0.38
234,234,2024-09-10 07:30:00,0.58,-0.32
235,235,2024-09-10 08:30:00,0.44,-0.26
236,236,2024-09-10 09:30:00,0.34,-0.18
237,237,2024-09-10 10:30:00,0.29,-0.1
238,238,2024-09-10 11:30:00,0.29,-0.04
239,239,2024-09-10 12:30:00,0.31,-0.03
240,240,2024-09-10 13:30:00,0.44,-0.07
241,241,2024-09-10 14:30:00,0.62,-0.16
242,242,2024-09-10 15:30:00,0.91,-0.27
243,243,2024-09-10 16:30:00,1.29,-0.41
244,244,2024-09-10 17:30:00,1.73,-0.53
245,245,2024-09-10 18:30:00,1.79,-0.52
246,246,2024-09-10 19:30:00,1.65,-0.48
247,247,2024-09-10 20:30:00,1.63,-0.46
248,248,2024-09-10 21:30:00,1.64,-0.48
249,249,2024-09-10 22:30:00,1.65,-0.5
250,250,2024-09-10 23:30:00,1.67,-0.5
251,251,2024-09-11 00:30:00,1.66,-0.5
252,252,2024-09-11 01:30:00,1.63,-0.51
253,253,2024-09-11 02:30:00,1.55,-0.51
254,254,2024-09-11 03:30:00,1.43,-0.5
255,255,2024-09-11 04:30:00,1.23,-0.47
256,256,2024-09-11 05:30:00,1.03,-0.45
257,257,2024-09-11 06:30:00,0.85,-0.41
258,258,2024-09-11 07:30:00,0.74,-0.36
259,259,2024-09-11 08:30:00,0.59,-0.29
260,260,2024-09-11 09:30:00,0.45,-0.22
261,261,2024-09-11 10:30:00,0.35,-0.16
262,262,2024-09-11 11:30:00,0.32,-0.14
263,263,2024-09-11 12:30:00,0.28,-0.12
264,264,2024-09-11 13:30:00,0.3,-0.12
265,265,2024-09-11 14:30:00,0.39,-0.13
266,266,2024-09-11 15:30:00,0.57,-0.19
267,267,2024-09-11 16:30:00,0.82,-0.26
268,268,2024-09-11 17:30:00,1.19,-0.36
269,269,2024-09-11 18:30:00,1.64,-0.5
270,270,2024-09-11 19:30:00,1.88,-0.55
271,271,2024-09-11 20:30:00,1.85,-0.54
272,272,2024-09-11 21:30:00,1.82,-0.54
273,273,2024-09-11 22:30:00,1.8,-0.57
274,274,2024-09-11 23:30:00,1.77,-0.58
275,275,2024-09-12 00:30:00,1.68,-0.55
276,276,2024-09-12 01:30:00,1.59,-0.51
277,277,2024-09-12 02:30:00,1.47,-0.48
278,278,2024-09-12 03:30:00,1.4,-0.47
279,279,2024-09-12 04:30:00,1.27,-0.44
280,280,2024-09-12 05:30:00,1.15,-0.43
281,281,2024-09-12 06:30:00,1.03,-0.43
282,282,2024-09-12 07:30:00,0.88,-0.42
283,283,2024-09-12 08:30:00,0.68,-0.39
284,284,2024-09-12 09:30:00,0.5,-0.33
285,285,2024-09-12 10:30:00,0.35,-0.24
286,286,2024-09-12 11:30:00,0.32,-0.15
287,287,2024-09-12 12:30:00,0.31,-0.09
288,288,2024-09-12 13:30:00,0.32,-0.09
289,289,2024-09-12 14:30:00,0.38,-0.12
290,290,2024-09-12 15:30:00,0.47,-0.15
291,291,2024-09-12 16:30:00,0.6,-0.2
292,292,2024-09-12 17:30:00,0.88,-0.29
293,293,2024-09-12 18:30:00,1.26,-0.41
294,294,2024-09-12 19:30:00,1.68,-0.57
295,295,2024-09-12 20:30:00,1.91,-0.64
296,296,2024-09-12 21:30:00,1.79,-0.57
297,297,2024-09-12 22:30:00,1.71,-0.51
298,298,2024-09-12 23:30:00,1.74,-0.54
299,299,2024-09-13 00:30:00,1.69,-0.53
300,300,2024-09-13 01:30:00,1.65,-0.52
301,301,2024-09-13 02:30:00,1.57,-0.5
302,302,2024-09-13 03:30:00,1.5,-0.49
303,303,2024-09-13 04:30:00,1.36,-0.46
304,304,2024-09-13 05:30:00,1.25,-0.46
305,305,2024-09-13 06:30:00,1.16,-0.45
306,306,2024-09-13 07:30:00,1.07,-0.44
307,307,2024-09-13 08:30:00,0.89,-0.39
308,308,2024-09-13 09:30:00,0.69,-0.32
309,309,2024-09-13 10:30:00,0.54,-0.25
310,310,2024-09-13 11:30:00,0.49,-0.2
311,311,2024-09-13 12:30:00,0.34,-0.14
312,312,2024-09-13 13:30:00,0.17,-0.09
313,313,2024-09-13 14:30:00,0.06,-0.02
314,314,2024-09-13 15:30:00,0.04,0.05
315,315,2024-09-13 16:30:00,0.12,0.09
316,316,2024-09-13 17:30:00,0.28,0.06
317,317,2024-09-13 18:30:00,0.47,0.0
318,318,2024-09-13 19:30:00,0.8,-0.15
319,319,2024-09-13 20:30:00,1.12,-0.33
320,320,2024-09-13 21:30:00,1.56,-0.49
321,321,2024-09-13 22:30:00,1.98,-0.62
322,322,2024-09-13 23:30:00,2.02,-0.61
323,323,2024-09-14 00:30:00,1.85,-0.55
324,324,2024-09-14 01:30:00,1.81,-0.59
325,325,2024-09-14 02:30:00,1.74,-0.58
326,326,2024-09-14 03:30:00,1.67,-0.55
327,327,2024-09-14 04:30:00,1.58,-0.52
328,328,2024-09-14 05:30:00,1.47,-0.51
