N,itm,Date,u,v
1,1,2025-09-28 18:30:00,1.81,-0.51
2,2,2025-09-28 19:30:00,1.86,-0.49
3,3,2025-09-28 20:30:00,1.85,-0.46
4,4,2025-09-28 21:30:00,1.83,-0.45
5,5,2025-09-28 22:30:00,1.82,-0.44
6,6,2025-09-28 23:30:00,1.82,-0.45
7,7,2025-09-29 00:30:00,1.75,-0.44
8,8,2025-09-29 01:30:00,1.74,-0.46
9,9,2025-09-29 02:30:00,1.73,-0.48
10,10,2025-09-29 03:30:00,1.62,-0.47
11,11,2025-09-29 04:30:00,1.33,-0.39
12,12,2025-09-29 05:30:00,1.13,-0.32
13,13,2025-09-29 06:30:00,0.93,-0.24
14,14,2025-09-29 07:30:00,0.76,-0.18
15,15,2025-09-29 08:30:00,0.58,-0.13
16,16,2025-09-29 09:30:00,0.39,-0.11
17,17,2025-09-29 10:30:00,0.26,-0.09
18,18,2025-09-29 11:30:00,0.22,-0.05
19,19,2025-09-29 12:30:00,0.22,0.01
20,20,2025-09-29 13:30:00,0.33,0.01
21,21,2025-09-29 14:30:00,0.5,-0.06
22,22,2025-09-29 15:30:00,0.75,-0.22
23,23,2025-09-29 16:30:00,1.06,-0.37
24,24,2025-09-29 17:30:00,1.44,-0.46
25,25,2025-09-29 18:30:00,1.74,-0.58
26,26,2025-09-29 19:30:00,1.91,-0.63
27,27,2025-09-29 20:30:00,1.92,-0.61
28,28,2025-09-29 21:30:00,1.89,-0.56
29,29,2025-09-29 22:30:00,1.89,-0.52
30,30,2025-09-29 23:30:00,1.93,-0.51
31,31,2025-09-30 00:30:00,1.98,-0.51
32,32,2025-09-30 01:30:00,2.05,-0.53
33,33,2025-09-30 02:30:00,1.94,-0.49
34,34,2025-09-30 03:30:00,1.69,-0.45
35,35,2025-09-30 04:30:00,1.48,-0.43
36,36,2025-09-30 05:30:00,1.29,-0.42
37,37,2025-09-30 06:30:00,1.08,-0.38
38,38,2025-09-30 07:30:00,0.87,-0.33
39,39,2025-09-30 08:30:00,0.69,-0.28
40,40,2025-09-30 09:30:00,0.55,-0.22
41,41,2025-09-30 10:30:00,0.42,-0.17
42,42,2025-09-30 11:30:00,0.34,-0.14
43,43,2025-09-30 12:30:00,0.31,-0.13
44,44,2025-09-30 13:30:00,0.35,-0.13
45,45,2025-09-30 14:30:00,0.47,-0.17
46,46,2025-09-30 15:30:00,0.67,-0.26
47,47,2025-09-30 16:30:00,0.93,-0.35
48,48,2025-09-30 17:30:00,1.27,-0.42
49,49,2025-09-30 18:30:00,1.61,-0.52
50,50,2025-09-30 19:30:00,1.89,-0.56
51,51,2025-09-30 20:30:00,2.08,-0.6
52,52,2025-09-30 21:30:00,2.09,-0.59
53,53,2025-09-30 22:30:00,2.07,-0.56
54,54,2025-09-30 23:30:00,2.06,-0.53
55,55,2025-10-01 00:30:00,2.06,-0.51
56,56,2025-10-01 01:30:00,2.05,-0.5
57,57,2025-10-01 02:30:00,2.04,-0.49
58,58,2025-10-01 03:30:00,2.01,-0.5
59,59,2025-10-01 04:30:00,1.91,-0.48
60,60,2025-10-01 05:30:00,1.65,-0.42
61,61,2025-10-01 06:30:00,1.4,-0.36
62,62,2025-10-01 07:30:00,1.21,-0.32
63,63,2025-10-01 08:30:00,1.04,-0.28
64,64,2025-10-01 09:30:00,0.88,-0.25
65,65,2025-10-01 10:30:00,0.74,-0.23
66,66,2025-10-01 11:30:00,0.63,-0.23
67,67,2025-10-01 12:30:00,0.55,-0.23
68,68,2025-10-01 13:30:00,0.52,-0.25
69,69,2025-10-01 14:30:00,0.55,-0.27
70,70,2025-10-01 15:30:00,0.65,-0.3
71,71,2025-10-01 16:30:00,0.82,-0.34
72,72,2025-10-01 17:30:00,1.07,-0.39
73,73,2025-10-01 18:30:00,1.35,-0.46
74,74,2025-10-01 19:30:00,1.7,-0.5
75,75,2025-10-01 20:30:00,1.89,-0.54
76,76,2025-10-01 21:30:00,1.96,-0.56
77,77,2025-10-01 22:30:00,1.99,-0.54
78,78,2025-10-01 23:30:00,2.01,-0.51
79,79,2025-10-02 00:30:00,2.02,-0.49
80,80,2025-10-02 01:30:00,2.03,-0.48
81,81,2025-10-02 02:30:00,2.03,-0.47
82,82,2025-10-02 03:30:00,2.03,-0.48
83,83,2025-10-02 04:30:00,2.0,-0.49
84,84,2025-10-02 05:30:00,1.9,-0.5
85,85,2025-10-02 06:30:00,1.62,-0.46
86,86,2025-10-02 07:30:00,1.36,-0.43
87,87,2025-10-02 08:30:00,1.17,-0.42
88,88,2025-10-02 09:30:00,0.99,-0.38
89,89,2025-10-02 10:30:00,0.84,-0.34
90,90,2025-10-02 11:30:00,0.7,-0.31
91,91,2025-10-02 12:30:00,0.58,-0.3
92,92,2025-10-02 13:30:00,0.48,-0.29
93,93,2025-10-02 14:30:00,0.42,-0.29
94,94,2025-10-02 15:30:00,0.42,-0.28
95,95,2025-10-02 16:30:00,0.5,-0.29
96,96,2025-10-02 17:30:00,0.66,-0.31
97,97,2025-10-02 18:30:00,0.9,-0.36
98,98,2025-10-02 19:30:00,1.19,-0.41
99,99,2025-10-02 20:30:00,1.49,-0.48
100,100,2025-10-02 21:30:00,1.77,-0.52
101,101,2025-10-02 22:30:00,1.92,-0.56
102,102,2025-10-02 23:30:00,1.95,-0.56
103,103,2025-10-03 00:30:00,1.92,-0.54
104,104,2025-10-03 01:30:00,1.86,-0.51
105,105,2025-10-03 02:30:00,1.79,-0.47
106,106,2025-10-03 03:30:00,1.71,-0.45
107,107,2025-10-03 04:30:00,1.63,-0.44
108,108,2025-10-03 05:30:00,1.56,-0.45
109,109,2025-10-03 06:30:00,1.48,-0.47
110,110,2025-10-03 07:30:00,1.39,-0.49
111,111,2025-10-03 08:30:00,1.21,-0.45
112,112,2025-10-03 09:30:00,1.06,-0.4
113,113,2025-10-03 10:30:00,0.97,-0.36
114,114,2025-10-03 11:30:00,0.91,-0.32
115,115,2025-10-03 12:30:00,0.84,-0.28
116,116,2025-10-03 13:30:00,0.77,-0.26
117,117,2025-10-03 14:30:00,0.7,-0.26
118,118,2025-10-03 15:30:00,0.64,-0.27
119,119,2025-10-03 16:30:00,0.61,-0.3
120,120,2025-10-03 17:30:00,0.64,-0.34
121,121,2025-10-03 18:30:00,0.74,-0.38
122,122,2025-10-03 19:30:00,0.93,-0.42
123,123,2025-10-03 20:30:00,1.17,-0.48
124,124,2025-10-03 21:30:00,1.43,-0.54
125,125,2025-10-03 22:30:00,1.69,-0.58
126,126,2025-10-03 23:30:00,1.88,-0.61
127,127,2025-10-04 00:30:00,1.9,-0.59
128,128,2025-10-04 01:30:00,1.87,-0.55
129,129,2025-10-04 02:30:00,1.83,-0.51
130,130,2025-10-04 03:30:00,1.78,-0.49
131,131,2025-10-04 04:30:00,1.74,-0.48
132,132,2025-10-04 05:30:00,1.72,-0.48
133,133,2025-10-04 06:30:00,1.72,-0.51
134,134,2025-10-04 07:30:00,1.63,-0.49
135,135,2025-10-04 08:30:00,1.52,-0.48
136,136,2025-10-04 09:30:00,1.48,-0.49
137,137,2025-10-04 10:30:00,1.45,-0.49
138,138,2025-10-04 11:30:00,1.41,-0.48
139,139,2025-10-04 12:30:00,1.34,-0.46
140,140,2025-10-04 13:30:00,1.23,-0.44
141,141,2025-10-04 14:30:00,1.1,-0.42
142,142,2025-10-04 15:30:00,0.98,-0.39
143,143,2025-10-04 16:30:00,0.88,-0.37
144,144,2025-10-04 17:30:00,0.84,-0.35
145,145,2025-10-04 18:30:00,0.86,-0.35
146,146,2025-10-04 19:30:00,0.96,-0.38
147,147,2025-10-04 20:30:00,1.13,-0.42
