N,itm,Date,u,v
1,1,2024-08-31 14:30:00,-0.22,0.11
2,2,2024-08-31 15:30:00,-0.25,0.2
3,3,2024-08-31 16:30:00,-0.28,0.29
4,4,2024-08-31 17:30:00,-0.28,0.32
5,5,2024-08-31 18:30:00,-0.27,0.35
6,6,2024-08-31 19:30:00,-0.22,0.33
7,7,2024-08-31 20:30:00,-0.14,0.27
8,8,2024-08-31 21:30:00,-0.05,0.18
9,9,2024-08-31 22:30:00,0.04,0.08
10,10,2024-08-31 23:30:00,0.14,-0.04
11,11,2024-09-01 00:30:00,0.23,-0.14
12,12,2024-09-01 01:30:00,0.38,-0.25
13,13,2024-09-01 02:30:00,0.5,-0.42
14,14,2024-09-01 03:30:00,0.5,-0.59
15,15,2024-09-01 04:30:00,0.34,-0.67
16,16,2024-09-01 05:30:00,0.14,-0.59
17,17,2024-09-01 06:30:00,-0.01,-0.41
18,18,2024-09-01 07:30:00,-0.06,-0.26
19,19,2024-09-01 08:30:00,-0.09,-0.12
20,20,2024-09-01 09:30:00,-0.1,-0.04
21,21,2024-09-01 10:30:00,-0.11,0.01
22,22,2024-09-01 11:30:00,-0.1,0.03
23,23,2024-09-01 12:30:00,-0.11,0.06
24,24,2024-09-01 13:30:00,-0.12,0.09
25,25,2024-09-01 14:30:00,-0.14,0.14
26,26,2024-09-01 15:30:00,-0.18,0.21
27,27,2024-09-01 16:30:00,-0.23,0.33
28,28,2024-09-01 17:30:00,-0.25,0.43
29,29,2024-09-01 18:30:00,-0.27,0.51
30,30,2024-09-01 19:30:00,-0.28,0.48
31,31,2024-09-01 20:30:00,-0.24,0.44
32,32,2024-09-01 21:30:00,-0.15,0.38
33,33,2024-09-01 22:30:00,-0.03,0.28
34,34,2024-09-01 23:30:00,0.1,0.13
35,35,2024-09-02 00:30:00,0.2,-0.04
36,36,2024-09-02 01:30:00,0.27,-0.18
37,37,2024-09-02 02:30:00,0.32,-0.28
38,38,2024-09-02 03:30:00,0.4,-0.38
39,39,2024-09-02 04:30:00,0.41,-0.48
40,40,2024-09-02 05:30:00,0.25,-0.48
41,41,2024-09-02 06:30:00,0.06,-0.47
42,42,2024-09-02 07:30:00,-0.06,-0.51
43,43,2024-09-02 08:30:00,-0.15,-0.37
44,44,2024-09-02 09:30:00,-0.16,-0.33
45,45,2024-09-02 10:30:00,-0.16,-0.27
46,46,2024-09-02 11:30:00,-0.13,-0.18
47,47,2024-09-02 12:30:00,-0.1,-0.01
48,48,2024-09-02 13:30:00,-0.06,0.09
49,49,2024-09-02 14:30:00,-0.05,0.14
50,50,2024-09-02 15:30:00,-0.04,0.13
51,51,2024-09-02 16:30:00,-0.07,0.15
52,52,2024-09-02 17:30:00,-0.11,0.17
53,53,2024-09-02 18:30:00,-0.16,0.21
54,54,2024-09-02 19:30:00,-0.17,0.22
55,55,2024-09-02 20:30:00,-0.16,0.21
56,56,2024-09-02 21:30:00,-0.12,0.15
57,57,2024-09-02 22:30:00,-0.07,0.09
58,58,2024-09-02 23:30:00,0.02,-0.02
59,59,2024-09-03 00:30:00,0.09,-0.13
60,60,2024-09-03 01:30:00,0.16,-0.24
61,61,2024-09-03 02:30:00,0.16,-0.26
62,62,2024-09-03 03:30:00,0.18,-0.24
63,63,2024-09-03 04:30:00,0.3,-0.22
64,64,2024-09-03 05:30:00,0.37,-0.29
65,65,2024-09-03 06:30:00,0.29,-0.38
66,66,2024-09-03 07:30:00,0.15,-0.36
67,67,2024-09-03 08:30:00,-0.0,-0.24
68,68,2024-09-03 09:30:00,-0.04,-0.2
69,69,2024-09-03 10:30:00,-0.08,-0.08
70,70,2024-09-03 11:30:00,-0.07,-0.03
71,71,2024-09-03 12:30:00,-0.06,0.03
72,72,2024-09-03 13:30:00,-0.08,0.11
73,73,2024-09-03 14:30:00,-0.06,0.18
74,74,2024-09-03 15:30:00,-0.05,0.25
75,75,2024-09-03 16:30:00,-0.08,0.34
76,76,2024-09-03 17:30:00,-0.06,0.37
77,77,2024-09-03 18:30:00,-0.1,0.41
78,78,2024-09-03 19:30:00,-0.09,0.38
79,79,2024-09-03 20:30:00,-0.1,0.36
80,80,2024-09-03 21:30:00,-0.08,0.31
81,81,2024-09-03 22:30:00,-0.01,0.22
82,82,2024-09-03 23:30:00,0.06,0.09
83,83,2024-09-04 00:30:00,0.13,-0.05
84,84,2024-09-04 01:30:00,0.18,-0.19
85,85,2024-09-04 02:30:00,0.16,-0.25
86,86,2024-09-04 03:30:00,0.11,-0.26
87,87,2024-09-04 04:30:00,0.07,-0.2
88,88,2024-09-04 05:30:00,0.07,-0.13
89,89,2024-09-04 06:30:00,0.08,-0.08
90,90,2024-09-04 07:30:00,0.08,-0.08
91,91,2024-09-04 08:30:00,0.05,-0.12
92,92,2024-09-04 09:30:00,0.03,-0.22
93,93,2024-09-04 10:30:00,-0.01,-0.27
94,94,2024-09-04 11:30:00,-0.02,-0.3
95,95,2024-09-04 12:30:00,-0.02,-0.3
96,96,2024-09-04 13:30:00,-0.01,-0.29
97,97,2024-09-04 14:30:00,0.0,-0.23
98,98,2024-09-04 15:30:00,0.0,-0.12
99,99,2024-09-04 16:30:00,0.02,-0.02
100,100,2024-09-04 17:30:00,0.05,0.02
101,101,2024-09-04 18:30:00,0.03,0.05
102,102,2024-09-04 19:30:00,0.01,0.06
103,103,2024-09-04 20:30:00,-0.03,0.08
104,104,2024-09-04 21:30:00,-0.03,0.06
105,105,2024-09-04 22:30:00,-0.02,0.03
106,106,2024-09-04 23:30:00,-0.0,-0.02
107,107,2024-09-05 00:30:00,0.03,-0.07
108,108,2024-09-05 01:30:00,0.06,-0.13
109,109,2024-09-05 02:30:00,0.09,-0.15
110,110,2024-09-05 03:30:00,0.1,-0.13
111,111,2024-09-05 04:30:00,0.08,-0.04
112,112,2024-09-05 05:30:00,0.1,0.02
113,113,2024-09-05 06:30:00,0.12,0.07
114,114,2024-09-05 07:30:00,0.09,0.1
115,115,2024-09-05 08:30:00,0.07,0.09
116,116,2024-09-05 09:30:00,0.04,0.06
117,117,2024-09-05 10:30:00,-0.01,0.03
118,118,2024-09-05 11:30:00,-0.0,-0.07
119,119,2024-09-05 12:30:00,-0.01,-0.14
120,120,2024-09-05 13:30:00,-0.0,-0.23
121,121,2024-09-05 14:30:00,0.01,-0.28
122,122,2024-09-05 15:30:00,0.04,-0.27
123,123,2024-09-05 16:30:00,0.15,-0.29
124,124,2024-09-05 17:30:00,0.3,-0.37
125,125,2024-09-05 18:30:00,0.41,-0.45
126,126,2024-09-05 19:30:00,0.38,-0.48
127,127,2024-09-05 20:30:00,0.26,-0.42
