N,itm,Date,t,s
1,1,2025-10-30 18:30:00,10.45,34.0
2,2,2025-10-30 19:30:00,10.28,34.0
3,3,2025-10-30 20:30:00,10.19,34.0
4,4,2025-10-30 21:30:00,10.11,34.0
5,5,2025-10-30 22:30:00,10.0,34.0
6,6,2025-10-30 23:30:00,9.92,34.0
7,7,2025-10-31 00:30:00,9.96,34.0
8,8,2025-10-31 01:30:00,10.13,34.0
9,9,2025-10-31 02:30:00,10.34,34.0
10,10,2025-10-31 03:30:00,10.54,34.0
11,11,2025-10-31 04:30:00,10.78,34.0
12,12,2025-10-31 05:30:00,11.05,34.0
13,13,2025-10-31 06:30:00,11.23,34.0
14,14,2025-10-31 07:30:00,11.34,33.9
15,15,2025-10-31 08:30:00,11.48,33.9
16,16,2025-10-31 09:30:00,11.61,33.9
17,17,2025-10-31 10:30:00,11.66,33.9
18,18,2025-10-31 11:30:00,11.68,33.9
19,19,2025-10-31 12:30:00,11.73,33.9
20,20,2025-10-31 13:30:00,11.8,33.9
21,21,2025-10-31 14:30:00,11.86,33.9
22,22,2025-10-31 15:30:00,11.9,33.9
23,23,2025-10-31 16:30:00,11.98,33.9
24,24,2025-10-31 17:30:00,12.09,33.9
25,25,2025-10-31 18:30:00,12.17,33.9
26,26,2025-10-31 19:30:00,12.14,33.9
27,27,2025-10-31 20:30:00,11.94,33.9
28,28,2025-10-31 21:30:00,11.57,33.9
29,29,2025-10-31 22:30:00,11.15,33.9
30,30,2025-10-31 23:30:00,10.71,34.0
31,31,2025-11-01 00:30:00,10.33,34.0
32,32,2025-11-01 01:30:00,10.13,34.0
33,33,2025-11-01 02:30:00,10.05,34.0
34,34,2025-11-01 03:30:00,10.02,34.0
35,35,2025-11-01 04:30:00,10.03,34.0
36,36,2025-11-01 05:30:00,10.09,34.0
37,37,2025-11-01 06:30:00,10.23,34.0
38,38,2025-11-01 07:30:00,10.45,34.0
39,39,2025-11-01 08:30:00,10.71,34.0
40,40,2025-11-01 09:30:00,10.95,34.0
41,41,2025-11-01 10:30:00,11.11,33.9
42,42,2025-11-01 11:30:00,11.18,33.9
43,43,2025-11-01 12:30:00,11.19,33.9
44,44,2025-11-01 13:30:00,11.18,33.9
45,45,2025-11-01 14:30:00,11.15,33.9
46,46,2025-11-01 15:30:00,11.13,33.9
47,47,2025-11-01 16:30:00,11.14,33.9
48,48,2025-11-01 17:30:00,11.14,34.0
49,49,2025-11-01 18:30:00,11.09,34.0
50,50,2025-11-01 19:30:00,11.04,34.0
51,51,2025-11-01 20:30:00,10.99,34.0
52,52,2025-11-01 21:30:00,10.99,34.0
53,53,2025-11-01 22:30:00,11.05,34.0
54,54,2025-11-01 23:30:00,11.14,34.0
55,55,2025-11-02 00:30:00,11.25,34.0
56,56,2025-11-02 01:30:00,11.36,34.0
57,57,2025-11-02 02:30:00,11.45,33.9
58,58,2025-11-02 03:30:00,11.53,33.9
59,59,2025-11-02 04:30:00,11.63,33.9
60,60,2025-11-02 05:30:00,11.73,33.9
61,61,2025-11-02 06:30:00,11.8,33.9
62,62,2025-11-02 07:30:00,11.82,33.9
63,63,2025-11-02 08:30:00,11.81,33.9
64,64,2025-11-02 09:30:00,11.77,33.9
65,65,2025-11-02 10:30:00,11.7,33.9
66,66,2025-11-02 11:30:00,11.62,33.9
67,67,2025-11-02 12:30:00,11.53,33.9
68,68,2025-11-02 13:30:00,11.47,34.0
69,69,2025-11-02 14:30:00,11.45,34.0
70,70,2025-11-02 15:30:00,11.48,34.0
71,71,2025-11-02 16:30:00,11.57,33.9
72,72,2025-11-02 17:30:00,11.68,33.9
73,73,2025-11-02 18:30:00,11.79,33.9
74,74,2025-11-02 19:30:00,11.87,33.9
75,75,2025-11-02 20:30:00,11.9,33.9
76,76,2025-11-02 21:30:00,11.84,33.9
77,77,2025-11-02 22:30:00,11.68,33.9
78,78,2025-11-02 23:30:00,11.47,34.0
79,79,2025-11-03 00:30:00,11.27,34.0
80,80,2025-11-03 01:30:00,11.1,34.0
81,81,2025-11-03 02:30:00,10.99,34.0
82,82,2025-11-03 03:30:00,10.95,34.0
83,83,2025-11-03 04:30:00,10.97,34.0
84,84,2025-11-03 05:30:00,11.03,34.0
85,85,2025-11-03 06:30:00,11.13,34.0
86,86,2025-11-03 07:30:00,11.27,34.0
87,87,2025-11-03 08:30:00,11.44,34.0
88,88,2025-11-03 09:30:00,11.57,33.9
89,89,2025-11-03 10:30:00,11.59,33.9
90,90,2025-11-03 11:30:00,11.49,34.0
91,91,2025-11-03 12:30:00,11.31,34.0
92,92,2025-11-03 13:30:00,11.12,34.0
93,93,2025-11-03 14:30:00,10.97,34.0
94,94,2025-11-03 15:30:00,10.88,34.0
95,95,2025-11-03 16:30:00,10.87,34.0
96,96,2025-11-03 17:30:00,10.96,34.0
97,97,2025-11-03 18:30:00,11.14,34.0
98,98,2025-11-03 19:30:00,11.38,34.0
99,99,2025-11-03 20:30:00,11.62,33.9
100,100,2025-11-03 21:30:00,11.77,33.9
101,101,2025-11-03 22:30:00,11.84,33.9
102,102,2025-11-03 23:30:00,11.84,33.9
103,103,2025-11-04 00:30:00,11.78,33.9
104,104,2025-11-04 01:30:00,11.68,33.9
105,105,2025-11-04 02:30:00,11.54,33.9
106,106,2025-11-04 03:30:00,11.43,33.9
107,107,2025-11-04 04:30:00,11.34,34.0
108,108,2025-11-04 05:30:00,11.27,34.0
109,109,2025-11-04 06:30:00,11.24,34.0
110,110,2025-11-04 07:30:00,11.24,34.0
111,111,2025-11-04 08:30:00,11.26,34.0
112,112,2025-11-04 09:30:00,11.32,34.0
113,113,2025-11-04 10:30:00,11.34,34.0
114,114,2025-11-04 11:30:00,11.27,34.0
115,115,2025-11-04 12:30:00,11.13,34.0
116,116,2025-11-04 13:30:00,10.91,34.0
117,117,2025-11-04 14:30:00,10.62,34.0
118,118,2025-11-04 15:30:00,10.32,34.0
119,119,2025-11-04 16:30:00,10.1,34.0
120,120,2025-11-04 17:30:00,9.98,34.0
121,121,2025-11-04 18:30:00,9.97,34.0
122,122,2025-11-04 19:30:00,10.0,34.0
123,123,2025-11-04 20:30:00,10.04,34.0
124,124,2025-11-04 21:30:00,10.06,34.0
125,125,2025-11-04 22:30:00,10.05,34.0
126,126,2025-11-04 23:30:00,9.98,34.0
127,127,2025-11-05 00:30:00,9.89,34.0
128,128,2025-11-05 01:30:00,9.81,34.0
129,129,2025-11-05 02:30:00,9.76,34.0
130,130,2025-11-05 03:30:00,9.75,34.0
131,131,2025-11-05 04:30:00,9.8,34.0
132,132,2025-11-05 05:30:00,9.94,34.0
133,133,2025-11-05 06:30:00,10.2,34.0
134,134,2025-11-05 07:30:00,10.56,34.0
135,135,2025-11-05 08:30:00,10.89,34.0
136,136,2025-11-05 09:30:00,11.14,33.9
137,137,2025-11-05 10:30:00,11.3,33.9
138,138,2025-11-05 11:30:00,11.36,33.9
139,139,2025-11-05 12:30:00,11.32,33.9
140,140,2025-11-05 13:30:00,11.24,33.9
141,141,2025-11-05 14:30:00,11.16,34.0
142,142,2025-11-05 15:30:00,11.07,34.0
143,143,2025-11-05 16:30:00,11.0,34.0
144,144,2025-11-05 17:30:00,10.95,34.0
145,145,2025-11-05 18:30:00,10.97,34.0
146,146,2025-11-05 19:30:00,11.08,34.0
147,147,2025-11-05 20:30:00,11.27,33.9
148,148,2025-11-05 21:30:00,11.46,33.9
149,149,2025-11-05 22:30:00,11.62,33.9
150,150,2025-11-05 23:30:00,11.65,33.9
151,151,2025-11-06 00:30:00,11.54,33.9
152,152,2025-11-06 01:30:00,11.35,33.9
153,153,2025-11-06 02:30:00,11.16,34.0
154,154,2025-11-06 03:30:00,10.97,34.0
155,155,2025-11-06 04:30:00,10.81,34.0
156,156,2025-11-06 05:30:00,10.74,34.0
157,157,2025-11-06 06:30:00,10.79,34.0
158,158,2025-11-06 07:30:00,10.97,34.0
159,159,2025-11-06 08:30:00,11.24,33.9
160,160,2025-11-06 09:30:00,11.51,33.9
161,161,2025-11-06 10:30:00,11.7,33.9
162,162,2025-11-06 11:30:00,11.79,33.9
163,163,2025-11-06 12:30:00,11.76,33.9
164,164,2025-11-06 13:30:00,11.62,33.9
165,165,2025-11-06 14:30:00,11.41,33.9
166,166,2025-11-06 15:30:00,11.17,33.9
167,167,2025-11-06 16:30:00,10.92,34.0
168,168,2025-11-06 17:30:00,10.71,34.0
169,169,2025-11-06 18:30:00,10.55,34.0
170,170,2025-11-06 19:30:00,10.45,34.0
171,171,2025-11-06 20:30:00,10.47,34.0
172,172,2025-11-06 21:30:00,10.57,34.0
173,173,2025-11-06 22:30:00,10.75,34.0
174,174,2025-11-06 23:30:00,11.0,33.9
175,175,2025-11-07 00:30:00,11.23,33.9
176,176,2025-11-07 01:30:00,11.36,33.9
177,177,2025-11-07 02:30:00,11.41,33.9
178,178,2025-11-07 03:30:00,11.44,33.9
179,179,2025-11-07 04:30:00,11.47,33.9
180,180,2025-11-07 05:30:00,11.52,33.9
181,181,2025-11-07 06:30:00,11.61,33.9
182,182,2025-11-07 07:30:00,11.69,33.9
183,183,2025-11-07 08:30:00,11.77,33.9
184,184,2025-11-07 09:30:00,11.83,33.9
185,185,2025-11-07 10:30:00,11.87,33.9
186,186,2025-11-07 11:30:00,11.89,33.9
187,187,2025-11-07 12:30:00,11.88,33.9
188,188,2025-11-07 13:30:00,11.83,33.9
189,189,2025-11-07 14:30:00,11.71,33.9
190,190,2025-11-07 15:30:00,11.52,33.9
191,191,2025-11-07 16:30:00,11.31,33.9
192,192,2025-11-07 17:30:00,11.13,33.9
193,193,2025-11-07 18:30:00,11.03,33.9
194,194,2025-11-07 19:30:00,11.03,33.9
195,195,2025-11-07 20:30:00,11.15,33.9
196,196,2025-11-07 21:30:00,11.36,33.9
197,197,2025-11-07 22:30:00,11.56,33.9
198,198,2025-11-07 23:30:00,11.67,33.9
