N,itm,Date,u,v
1,1,2024-08-31 14:30:00,0.02,0.05
2,2,2024-08-31 15:30:00,0.01,0.06
3,3,2024-08-31 16:30:00,0.0,0.07
4,4,2024-08-31 17:30:00,-0.01,0.09
5,5,2024-08-31 18:30:00,-0.01,0.11
6,6,2024-08-31 19:30:00,-0.01,0.12
7,7,2024-08-31 20:30:00,-0.0,0.13
8,8,2024-08-31 21:30:00,0.0,0.13
9,9,2024-08-31 22:30:00,0.01,0.12
10,10,2024-08-31 23:30:00,0.02,0.12
11,11,2024-09-01 00:30:00,0.02,0.11
12,12,2024-09-01 01:30:00,0.02,0.09
13,13,2024-09-01 02:30:00,0.02,0.08
14,14,2024-09-01 03:30:00,-0.0,0.08
15,15,2024-09-01 04:30:00,-0.0,0.08
16,16,2024-09-01 05:30:00,-0.02,0.08
17,17,2024-09-01 06:30:00,-0.04,0.09
18,18,2024-09-01 07:30:00,-0.04,0.1
19,19,2024-09-01 08:30:00,-0.05,0.11
20,20,2024-09-01 09:30:00,-0.03,0.11
21,21,2024-09-01 10:30:00,-0.02,0.13
22,22,2024-09-01 11:30:00,-0.01,0.13
23,23,2024-09-01 12:30:00,-0.0,0.13
24,24,2024-09-01 13:30:00,-0.0,0.14
25,25,2024-09-01 14:30:00,-0.01,0.13
26,26,2024-09-01 15:30:00,-0.01,0.13
27,27,2024-09-01 16:30:00,-0.03,0.15
28,28,2024-09-01 17:30:00,-0.05,0.16
29,29,2024-09-01 18:30:00,-0.05,0.18
30,30,2024-09-01 19:30:00,-0.06,0.22
31,31,2024-09-01 20:30:00,-0.07,0.25
32,32,2024-09-01 21:30:00,-0.07,0.26
33,33,2024-09-01 22:30:00,-0.05,0.28
34,34,2024-09-01 23:30:00,-0.04,0.29
35,35,2024-09-02 00:30:00,-0.03,0.29
36,36,2024-09-02 01:30:00,-0.02,0.28
37,37,2024-09-02 02:30:00,-0.0,0.27
38,38,2024-09-02 03:30:00,0.0,0.25
39,39,2024-09-02 04:30:00,0.02,0.22
40,40,2024-09-02 05:30:00,0.03,0.2
41,41,2024-09-02 06:30:00,0.03,0.18
42,42,2024-09-02 07:30:00,0.01,0.16
43,43,2024-09-02 08:30:00,0.02,0.13
44,44,2024-09-02 09:30:00,-0.01,0.12
45,45,2024-09-02 10:30:00,-0.01,0.12
46,46,2024-09-02 11:30:00,-0.01,0.09
47,47,2024-09-02 12:30:00,-0.04,0.1
48,48,2024-09-02 13:30:00,-0.05,0.08
49,49,2024-09-02 14:30:00,-0.07,0.08
50,50,2024-09-02 15:30:00,-0.09,0.1
51,51,2024-09-02 16:30:00,-0.09,0.14
52,52,2024-09-02 17:30:00,-0.09,0.17
53,53,2024-09-02 18:30:00,-0.06,0.21
54,54,2024-09-02 19:30:00,-0.05,0.23
55,55,2024-09-02 20:30:00,-0.02,0.23
56,56,2024-09-02 21:30:00,-0.0,0.23
57,57,2024-09-02 22:30:00,0.01,0.21
58,58,2024-09-02 23:30:00,0.01,0.19
59,59,2024-09-03 00:30:00,0.01,0.18
60,60,2024-09-03 01:30:00,-0.01,0.16
61,61,2024-09-03 02:30:00,-0.02,0.15
62,62,2024-09-03 03:30:00,-0.05,0.14
63,63,2024-09-03 04:30:00,-0.07,0.15
64,64,2024-09-03 05:30:00,-0.09,0.17
65,65,2024-09-03 06:30:00,-0.09,0.18
66,66,2024-09-03 07:30:00,-0.09,0.2
67,67,2024-09-03 08:30:00,-0.07,0.23
68,68,2024-09-03 09:30:00,-0.06,0.22
69,69,2024-09-03 10:30:00,-0.03,0.23
70,70,2024-09-03 11:30:00,-0.02,0.21
71,71,2024-09-03 12:30:00,0.01,0.19
72,72,2024-09-03 13:30:00,0.03,0.17
73,73,2024-09-03 14:30:00,0.03,0.14
74,74,2024-09-03 15:30:00,0.02,0.11
75,75,2024-09-03 16:30:00,0.01,0.1
76,76,2024-09-03 17:30:00,-0.02,0.09
77,77,2024-09-03 18:30:00,-0.04,0.11
78,78,2024-09-03 19:30:00,-0.07,0.11
79,79,2024-09-03 20:30:00,-0.08,0.13
80,80,2024-09-03 21:30:00,-0.08,0.15
81,81,2024-09-03 22:30:00,-0.08,0.18
82,82,2024-09-03 23:30:00,-0.06,0.19
83,83,2024-09-04 00:30:00,-0.05,0.2
84,84,2024-09-04 01:30:00,-0.04,0.2
85,85,2024-09-04 02:30:00,-0.02,0.2
86,86,2024-09-04 03:30:00,-0.02,0.2
87,87,2024-09-04 04:30:00,-0.0,0.2
88,88,2024-09-04 05:30:00,-0.01,0.19
89,89,2024-09-04 06:30:00,-0.01,0.18
90,90,2024-09-04 07:30:00,-0.01,0.16
91,91,2024-09-04 08:30:00,-0.03,0.16
92,92,2024-09-04 09:30:00,-0.03,0.14
93,93,2024-09-04 10:30:00,-0.04,0.14
94,94,2024-09-04 11:30:00,-0.05,0.14
95,95,2024-09-04 12:30:00,-0.04,0.14
96,96,2024-09-04 13:30:00,-0.04,0.14
97,97,2024-09-04 14:30:00,-0.04,0.13
98,98,2024-09-04 15:30:00,-0.03,0.13
99,99,2024-09-04 16:30:00,-0.03,0.13
100,100,2024-09-04 17:30:00,-0.05,0.14
101,101,2024-09-04 18:30:00,-0.04,0.15
102,102,2024-09-04 19:30:00,-0.05,0.16
103,103,2024-09-04 20:30:00,-0.05,0.18
104,104,2024-09-04 21:30:00,-0.04,0.19
105,105,2024-09-04 22:30:00,-0.04,0.2
106,106,2024-09-04 23:30:00,-0.02,0.2
107,107,2024-09-05 00:30:00,-0.02,0.2
108,108,2024-09-05 01:30:00,-0.01,0.19
109,109,2024-09-05 02:30:00,-0.02,0.18
110,110,2024-09-05 03:30:00,-0.02,0.18
111,111,2024-09-05 04:30:00,-0.02,0.18
112,112,2024-09-05 05:30:00,-0.04,0.19
113,113,2024-09-05 06:30:00,-0.04,0.19
114,114,2024-09-05 07:30:00,-0.04,0.2
115,115,2024-09-05 08:30:00,-0.05,0.22
116,116,2024-09-05 09:30:00,-0.04,0.22
117,117,2024-09-05 10:30:00,-0.03,0.23
118,118,2024-09-05 11:30:00,-0.04,0.24
119,119,2024-09-05 12:30:00,-0.01,0.24
