N,itm,Date,u,v
1,1,2024-08-31 14:30:00,0.0,0.07
2,2,2024-08-31 15:30:00,0.0,0.08
3,3,2024-08-31 16:30:00,-0.01,0.09
4,4,2024-08-31 17:30:00,-0.01,0.11
5,5,2024-08-31 18:30:00,-0.02,0.13
6,6,2024-08-31 19:30:00,-0.02,0.14
7,7,2024-08-31 20:30:00,-0.02,0.15
8,8,2024-08-31 21:30:00,-0.03,0.16
9,9,2024-08-31 22:30:00,-0.02,0.16
10,10,2024-08-31 23:30:00,-0.02,0.16
11,11,2024-09-01 00:30:00,-0.02,0.15
12,12,2024-09-01 01:30:00,-0.02,0.14
13,13,2024-09-01 02:30:00,-0.01,0.13
14,14,2024-09-01 03:30:00,-0.02,0.14
15,15,2024-09-01 04:30:00,-0.02,0.13
16,16,2024-09-01 05:30:00,-0.03,0.14
17,17,2024-09-01 06:30:00,-0.03,0.15
18,18,2024-09-01 07:30:00,-0.03,0.15
19,19,2024-09-01 08:30:00,-0.03,0.16
20,20,2024-09-01 09:30:00,-0.02,0.14
21,21,2024-09-01 10:30:00,-0.02,0.15
22,22,2024-09-01 11:30:00,-0.02,0.15
23,23,2024-09-01 12:30:00,-0.01,0.14
24,24,2024-09-01 13:30:00,-0.02,0.15
25,25,2024-09-01 14:30:00,-0.03,0.15
26,26,2024-09-01 15:30:00,-0.03,0.15
27,27,2024-09-01 16:30:00,-0.04,0.16
28,28,2024-09-01 17:30:00,-0.05,0.17
29,29,2024-09-01 18:30:00,-0.04,0.17
30,30,2024-09-01 19:30:00,-0.05,0.19
31,31,2024-09-01 20:30:00,-0.04,0.2
32,32,2024-09-01 21:30:00,-0.04,0.2
33,33,2024-09-01 22:30:00,-0.03,0.21
34,34,2024-09-01 23:30:00,-0.02,0.21
35,35,2024-09-02 00:30:00,-0.0,0.21
36,36,2024-09-02 01:30:00,0.01,0.2
37,37,2024-09-02 02:30:00,0.02,0.19
38,38,2024-09-02 03:30:00,0.0,0.18
39,39,2024-09-02 04:30:00,-0.0,0.16
40,40,2024-09-02 05:30:00,-0.01,0.15
41,41,2024-09-02 06:30:00,-0.01,0.15
42,42,2024-09-02 07:30:00,-0.03,0.15
43,43,2024-09-02 08:30:00,-0.02,0.13
44,44,2024-09-02 09:30:00,-0.04,0.12
45,45,2024-09-02 10:30:00,-0.04,0.12
46,46,2024-09-02 11:30:00,-0.03,0.09
47,47,2024-09-02 12:30:00,-0.05,0.11
48,48,2024-09-02 13:30:00,-0.04,0.11
49,49,2024-09-02 14:30:00,-0.04,0.13
50,50,2024-09-02 15:30:00,-0.02,0.14
51,51,2024-09-02 16:30:00,-0.02,0.15
52,52,2024-09-02 17:30:00,-0.02,0.15
53,53,2024-09-02 18:30:00,-0.01,0.15
54,54,2024-09-02 19:30:00,-0.02,0.15
55,55,2024-09-02 20:30:00,-0.02,0.14
56,56,2024-09-02 21:30:00,-0.02,0.14
57,57,2024-09-02 22:30:00,-0.01,0.14
58,58,2024-09-02 23:30:00,-0.01,0.13
59,59,2024-09-03 00:30:00,-0.01,0.13
60,60,2024-09-03 01:30:00,-0.03,0.11
61,61,2024-09-03 02:30:00,-0.02,0.11
62,62,2024-09-03 03:30:00,-0.04,0.11
63,63,2024-09-03 04:30:00,-0.04,0.1
64,64,2024-09-03 05:30:00,-0.05,0.11
65,65,2024-09-03 06:30:00,-0.06,0.12
66,66,2024-09-03 07:30:00,-0.06,0.12
67,67,2024-09-03 08:30:00,-0.06,0.14
68,68,2024-09-03 09:30:00,-0.05,0.13
69,69,2024-09-03 10:30:00,-0.02,0.14
70,70,2024-09-03 11:30:00,-0.01,0.13
71,71,2024-09-03 12:30:00,0.02,0.11
72,72,2024-09-03 13:30:00,0.02,0.1
73,73,2024-09-03 14:30:00,0.01,0.09
74,74,2024-09-03 15:30:00,0.01,0.08
75,75,2024-09-03 16:30:00,-0.01,0.08
76,76,2024-09-03 17:30:00,-0.02,0.07
77,77,2024-09-03 18:30:00,-0.04,0.09
