N,itm,Date,t,s
1,1,2025-09-26 18:30:00,18.9,33.9
2,2,2025-09-26 19:30:00,19.0,33.9
3,3,2025-09-26 20:30:00,19.1,33.8
4,4,2025-09-26 21:30:00,19.3,33.8
5,5,2025-09-26 22:30:00,19.3,33.8
6,6,2025-09-26 23:30:00,19.3,33.8
7,7,2025-09-27 00:30:00,19.3,33.8
8,8,2025-09-27 01:30:00,19.3,33.8
9,9,2025-09-27 02:30:00,19.2,33.8
10,10,2025-09-27 03:30:00,19.2,33.8
11,11,2025-09-27 04:30:00,19.2,33.8
12,12,2025-09-27 05:30:00,19.3,33.8
13,13,2025-09-27 06:30:00,19.3,33.8
14,14,2025-09-27 07:30:00,19.4,33.8
15,15,2025-09-27 08:30:00,19.5,33.8
16,16,2025-09-27 09:30:00,19.7,33.8
17,17,2025-09-27 10:30:00,20.0,33.7
18,18,2025-09-27 11:30:00,20.2,33.7
19,19,2025-09-27 12:30:00,20.1,33.7
20,20,2025-09-27 13:30:00,20.0,33.7
21,21,2025-09-27 14:30:00,19.8,33.8
22,22,2025-09-27 15:30:00,19.5,33.8
23,23,2025-09-27 16:30:00,19.2,33.8
24,24,2025-09-27 17:30:00,19.0,33.8
25,25,2025-09-27 18:30:00,18.8,33.8
26,26,2025-09-27 19:30:00,18.7,33.8
27,27,2025-09-27 20:30:00,18.8,33.8
28,28,2025-09-27 21:30:00,18.9,33.8
29,29,2025-09-27 22:30:00,19.1,33.8
30,30,2025-09-27 23:30:00,19.3,33.8
31,31,2025-09-28 00:30:00,19.4,33.8
32,32,2025-09-28 01:30:00,19.6,33.8
33,33,2025-09-28 02:30:00,19.7,33.7
34,34,2025-09-28 03:30:00,19.8,33.7
35,35,2025-09-28 04:30:00,19.8,33.7
36,36,2025-09-28 05:30:00,19.7,33.7
37,37,2025-09-28 06:30:00,19.6,33.7
38,38,2025-09-28 07:30:00,19.4,33.8
39,39,2025-09-28 08:30:00,19.2,33.8
40,40,2025-09-28 09:30:00,19.0,33.8
41,41,2025-09-28 10:30:00,18.9,33.8
42,42,2025-09-28 11:30:00,18.7,33.8
43,43,2025-09-28 12:30:00,18.5,33.8
44,44,2025-09-28 13:30:00,18.4,33.8
45,45,2025-09-28 14:30:00,18.3,33.8
46,46,2025-09-28 15:30:00,18.4,33.8
47,47,2025-09-28 16:30:00,18.3,33.8
48,48,2025-09-28 17:30:00,18.2,33.8
49,49,2025-09-28 18:30:00,18.0,33.8
50,50,2025-09-28 19:30:00,18.0,33.8
51,51,2025-09-28 20:30:00,18.0,33.8
52,52,2025-09-28 21:30:00,18.1,33.8
53,53,2025-09-28 22:30:00,18.2,33.8
54,54,2025-09-28 23:30:00,18.3,33.8
55,55,2025-09-29 00:30:00,18.4,33.8
56,56,2025-09-29 01:30:00,18.4,33.8
57,57,2025-09-29 02:30:00,18.5,33.8
58,58,2025-09-29 03:30:00,18.6,33.8
59,59,2025-09-29 04:30:00,18.7,33.8
60,60,2025-09-29 05:30:00,18.7,33.8
