Site,Date,Depth,chl,Source
3_reb,2020-01-01,5,0.3547972738742828,MY
3_reb,2020-01-01,10,0.3547915816307068,MY
3_reb,2020-01-01,15,0.3547739088535309,MY
3_reb,2020-01-01,20,0.3547305762767792,MY
3_reb,2020-01-01,30,0.3545550405979156,MY
3_reb,2020-01-01,40,0.3542775213718414,MY
3_reb,2020-01-01,50,0.353993684053421,MY
3_reb,2020-01-02,5,0.3544853031635284,MY
3_reb,2020-01-02,10,0.3544970452785492,MY
3_reb,2020-01-02,15,0.3544965088367462,MY
3_reb,2020-01-02,20,0.3544769585132599,MY
3_reb,2020-01-02,30,0.3543552458286285,MY
3_reb,2020-01-02,40,0.3541372418403625,MY
3_reb,2020-01-02,50,0.353912740945816,MY
3_reb,2020-01-03,5,0.354065328836441,MY
3_reb,2020-01-03,10,0.3540682792663574,MY
3_reb,2020-01-03,15,0.3540554940700531,MY
3_reb,2020-01-03,20,0.3540149927139282,MY
3_reb,2020-01-03,30,0.3538359999656677,MY
3_reb,2020-01-03,40,0.3535564839839935,MY
3_reb,2020-01-03,50,0.3532861769199371,MY
3_reb,2020-01-04,5,0.3611878454685211,MY
3_reb,2020-01-04,10,0.3611506223678589,MY
3_reb,2020-01-04,15,0.3610965311527252,MY
3_reb,2020-01-04,20,0.3609995245933532,MY
3_reb,2020-01-04,30,0.3606942296028137,MY
3_reb,2020-01-04,40,0.3602916002273559,MY
3_reb,2020-01-04,50,0.359918862581253,MY
3_reb,2020-01-05,5,0.378545731306076,MY
3_reb,2020-01-05,10,0.3784931600093841,MY
3_reb,2020-01-05,15,0.3784246444702148,MY
3_reb,2020-01-05,20,0.378307968378067,MY
3_reb,2020-01-05,30,0.3779061734676361,MY
3_reb,2020-01-05,40,0.3773107230663299,MY
3_reb,2020-01-05,50,0.3767563104629516,MY
3_reb,2020-01-06,5,0.391121357679367,MY
3_reb,2020-01-06,10,0.3910434544086456,MY
3_reb,2020-01-06,15,0.3909448981285095,MY
