Site,Date,Depth,chl,Source
4_ris,2020-01-01,5,0.3461641073226928,MY
4_ris,2020-01-01,10,0.3461275100708008,MY
4_ris,2020-01-01,15,0.3460845351219177,MY
4_ris,2020-01-01,20,0.3460160493850708,MY
4_ris,2020-01-01,30,0.3458325266838074,MY
4_ris,2020-01-01,40,0.3456186354160309,MY
4_ris,2020-01-01,50,0.3454294502735138,MY
4_ris,2020-01-02,5,0.3503254354000091,MY
4_ris,2020-01-02,10,0.3502959907054901,MY
4_ris,2020-01-02,15,0.3502628207206726,MY
4_ris,2020-01-02,20,0.3502108752727508,MY
4_ris,2020-01-02,30,0.3500710725784302,MY
4_ris,2020-01-02,40,0.3499100506305694,MY
4_ris,2020-01-02,50,0.3497675061225891,MY
4_ris,2020-01-03,5,0.3519854247570038,MY
4_ris,2020-01-03,10,0.3519758284091949,MY
4_ris,2020-01-03,15,0.3519616723060608,MY
4_ris,2020-01-03,20,0.3519345819950104,MY
4_ris,2020-01-03,30,0.3518413603305816,MY
4_ris,2020-01-03,40,0.3517115414142608,MY
4_ris,2020-01-03,50,0.3515810668468475,MY
4_ris,2020-01-04,5,0.358249694108963,MY
4_ris,2020-01-04,10,0.3582451343536377,MY
4_ris,2020-01-04,15,0.3582337498664856,MY
4_ris,2020-01-04,20,0.3582090437412262,MY
4_ris,2020-01-04,30,0.3581147789955139,MY
4_ris,2020-01-04,40,0.3579767346382141,MY
4_ris,2020-01-04,50,0.3578205406665802,MY
4_ris,2020-01-05,5,0.3737896084785461,MY
4_ris,2020-01-05,10,0.3737721741199493,MY
4_ris,2020-01-05,15,0.3737486004829407,MY
4_ris,2020-01-05,20,0.3737073540687561,MY
4_ris,2020-01-05,30,0.3735474646091461,MY
4_ris,2020-01-05,40,0.3733026683330536,MY
4_ris,2020-01-05,50,0.373031347990036,MY
4_ris,2020-01-06,5,0.3856717050075531,MY
4_ris,2020-01-06,10,0.3856357932090759,MY
4_ris,2020-01-06,15,0.3855888545513153,MY
4_ris,2020-01-06,20,0.3855061531066894,MY
4_ris,2020-01-06,30,0.3852052688598633,MY
4_ris,2020-01-06,40,0.3836851716041565,MY
4_ris,2020-01-06,50,0.3818692564964294,MY
4_ris,2020-01-07,5,0.4042611420154571,MY
4_ris,2020-01-07,10,0.40395388007164,MY
4_ris,2020-01-07,15,0.403503805398941,MY
4_ris,2020-01-07,20,0.4022860527038574,MY
4_ris,2020-01-07,30,0.3959700465202331,MY
4_ris,2020-01-07,40,0.3744241893291473,MY
4_ris,2020-01-07,50,0.3667859435081482,MY
4_ris,2020-01-08,5,0.431845873594284,MY
4_ris,2020-01-08,10,0.4313723146915436,MY
4_ris,2020-01-08,15,0.4301662445068359,MY
4_ris,2020-01-08,20,0.4268217980861664,MY
4_ris,2020-01-08,30,0.4081356823444366,MY
4_ris,2020-01-08,40,0.3499304354190826,MY
4_ris,2020-01-08,50,0.3442805707454681,MY
4_ris,2020-01-09,5,0.4547360241413116,MY
4_ris,2020-01-09,10,0.4540139734745025,MY
4_ris,2020-01-09,15,0.452067881822586,MY
4_ris,2020-01-09,20,0.4465554356575012,MY
