Site,Date,Depth,chl,Source
96_ton,2020-01-01,5,0.8727302551269531,MY
96_ton,2020-01-01,10,0.872320294380188,MY
96_ton,2020-01-01,15,0.8682173490524292,MY
96_ton,2020-01-01,20,0.8272460103034973,MY
96_ton,2020-01-01,30,0.6001606583595276,MY
96_ton,2020-01-01,40,0.5059585571289062,MY
96_ton,2020-01-01,50,0.43243208527565,MY
96_ton,2020-01-02,5,0.8836439847946167,MY
96_ton,2020-01-02,10,0.8833789229393005,MY
96_ton,2020-01-02,15,0.8820050358772278,MY
96_ton,2020-01-02,20,0.8672956228256226,MY
96_ton,2020-01-02,30,0.6430760025978088,MY
96_ton,2020-01-02,40,0.4793138802051544,MY
96_ton,2020-01-02,50,0.4437468349933624,MY
96_ton,2020-01-03,5,0.8924304246902466,MY
96_ton,2020-01-03,10,0.8921676874160767,MY
96_ton,2020-01-03,15,0.8899276256561279,MY
96_ton,2020-01-03,20,0.8710731267929077,MY
96_ton,2020-01-03,30,0.6261301040649414,MY
96_ton,2020-01-03,40,0.4189306795597076,MY
96_ton,2020-01-03,50,0.397606611251831,MY
96_ton,2020-01-04,5,0.9128509759902954,MY
96_ton,2020-01-04,10,0.9126779437065125,MY
96_ton,2020-01-04,15,0.9113378524780272,MY
96_ton,2020-01-04,20,0.8891490697860718,MY
96_ton,2020-01-04,30,0.600413978099823,MY
96_ton,2020-01-04,40,0.3753913938999176,MY
96_ton,2020-01-04,50,0.3485912680625915,MY
96_ton,2020-01-05,5,0.9445428848266602,MY
96_ton,2020-01-05,10,0.9443287253379822,MY
96_ton,2020-01-05,15,0.9436445832252502,MY
96_ton,2020-01-05,20,0.9291388988494872,MY
96_ton,2020-01-05,30,0.6292756199836731,MY
96_ton,2020-01-05,40,0.3780458271503448,MY
96_ton,2020-01-05,50,0.3308848142623901,MY
96_ton,2020-01-06,5,0.9662964344024658,MY
96_ton,2020-01-06,10,0.966067910194397,MY
96_ton,2020-01-06,15,0.9656867384910583,MY
96_ton,2020-01-06,20,0.9625468850135804,MY
96_ton,2020-01-06,30,0.7153773903846741,MY
96_ton,2020-01-06,40,0.4007748961448669,MY
96_ton,2020-01-06,50,0.3376540243625641,MY
96_ton,2020-01-07,5,0.9953107237815856,MY
96_ton,2020-01-07,10,0.9949648976325988,MY
96_ton,2020-01-07,15,0.9938868284225464,MY
96_ton,2020-01-07,20,0.981242835521698,MY
96_ton,2020-01-07,30,0.7171759009361267,MY
96_ton,2020-01-07,40,0.383543848991394,MY
96_ton,2020-01-07,50,0.318791776895523,MY
96_ton,2020-01-08,5,1.0419381856918335,MY
96_ton,2020-01-08,10,1.0415370464324951,MY
96_ton,2020-01-08,15,1.0380061864852903,MY
96_ton,2020-01-08,20,0.9983511567115784,MY
96_ton,2020-01-08,30,0.7169050574302673,MY
96_ton,2020-01-08,40,0.4371821880340576,MY
96_ton,2020-01-08,50,0.3711040616035461,MY
96_ton,2020-01-09,5,1.085854172706604,MY
96_ton,2020-01-09,10,1.0854352712631226,MY
96_ton,2020-01-09,15,1.0762701034545898,MY
96_ton,2020-01-09,20,0.9996486306190492,MY
96_ton,2020-01-09,30,0.6957836747169495,MY
96_ton,2020-01-09,40,0.4746139943599701,MY
96_ton,2020-01-09,50,0.4286555051803589,MY
96_ton,2020-01-10,5,1.1350783109664917,MY
96_ton,2020-01-10,10,1.133703351020813,MY
96_ton,2020-01-10,15,1.1073075532913208,MY
96_ton,2020-01-10,20,0.979758322238922,MY
96_ton,2020-01-10,30,0.6364774107933044,MY
96_ton,2020-01-10,40,0.42621710896492,MY
96_ton,2020-01-10,50,0.4013304710388183,MY
96_ton,2020-01-11,5,1.2058141231536863,MY
96_ton,2020-01-11,10,1.1980360746383667,MY
96_ton,2020-01-11,15,1.134704828262329,MY
96_ton,2020-01-11,20,0.9427313208580016,MY
96_ton,2020-01-11,30,0.5919783115386963,MY
96_ton,2020-01-11,40,0.4293041825294494,MY
96_ton,2020-01-11,50,0.3973074555397033,MY
96_ton,2020-01-12,5,1.2611489295959473,MY
96_ton,2020-01-12,10,1.237165451049805,MY
96_ton,2020-01-12,15,1.1223307847976685,MY
96_ton,2020-01-12,20,0.8662343621253967,MY
96_ton,2020-01-12,30,0.543220579624176,MY
96_ton,2020-01-12,40,0.4213469326496124,MY
96_ton,2020-01-12,50,0.4209217429161072,MY
96_ton,2020-01-13,5,1.247608304023743,MY
96_ton,2020-01-13,10,1.2070375680923462,MY
96_ton,2020-01-13,15,1.0431125164031982,MY
96_ton,2020-01-13,20,0.7567840218544006,MY
96_ton,2020-01-13,30,0.479861855506897,MY
96_ton,2020-01-13,40,0.391649067401886,MY
96_ton,2020-01-13,50,0.3950720429420471,MY
96_ton,2020-01-14,5,1.177140235900879,MY
96_ton,2020-01-14,10,1.1165164709091189,MY
96_ton,2020-01-14,15,0.9323130249977112,MY
96_ton,2020-01-14,20,0.6670933365821838,MY
96_ton,2020-01-14,30,0.4477671086788177,MY
96_ton,2020-01-14,40,0.3705732524394989,MY
96_ton,2020-01-14,50,0.3658067882061004,MY
96_ton,2020-01-15,5,1.076609492301941,MY
96_ton,2020-01-15,10,0.9988022446632384,MY
96_ton,2020-01-15,15,0.8263437151908875,MY
96_ton,2020-01-15,20,0.5931923985481262,MY
96_ton,2020-01-15,30,0.4484212696552276,MY
96_ton,2020-01-15,40,0.3802649676799774,MY
96_ton,2020-01-15,50,0.3599781394004822,MY
96_ton,2020-01-16,5,0.9489631652832032,MY
96_ton,2020-01-16,10,0.8921764492988586,MY
96_ton,2020-01-16,15,0.7533358335494995,MY
96_ton,2020-01-16,20,0.5717881917953491,MY
96_ton,2020-01-16,30,0.4723915159702301,MY
96_ton,2020-01-16,40,0.4156703054904938,MY
96_ton,2020-01-16,50,0.3877644538879394,MY
96_ton,2020-01-17,5,0.8071883320808411,MY
96_ton,2020-01-17,10,0.7785508036613464,MY
96_ton,2020-01-17,15,0.714263916015625,MY
96_ton,2020-01-17,20,0.5964232087135315,MY
96_ton,2020-01-17,30,0.5146344900131226,MY
96_ton,2020-01-17,40,0.4652389585971832,MY
96_ton,2020-01-17,50,0.43366739153862,MY
96_ton,2020-01-18,5,0.7513533234596252,MY
96_ton,2020-01-18,10,0.7247826457023621,MY
96_ton,2020-01-18,15,0.6902064681053162,MY
96_ton,2020-01-18,20,0.5975501537322998,MY
96_ton,2020-01-18,30,0.5161193609237671,MY
96_ton,2020-01-18,40,0.4797418117523193,MY
96_ton,2020-01-18,50,0.4510385692119598,MY
96_ton,2020-01-19,5,0.7248876094818115,MY
96_ton,2020-01-19,10,0.7072678208351135,MY
96_ton,2020-01-19,15,0.6777282357215881,MY
96_ton,2020-01-19,20,0.585137128829956,MY
96_ton,2020-01-19,30,0.514792799949646,MY
96_ton,2020-01-19,40,0.4715255796909332,MY
96_ton,2020-01-19,50,0.4468031227588653,MY
96_ton,2020-01-20,5,0.7037097215652466,MY
96_ton,2020-01-20,10,0.6863200068473816,MY
96_ton,2020-01-20,15,0.6479941010475159,MY
96_ton,2020-01-20,20,0.5703631043434143,MY
96_ton,2020-01-20,30,0.5185195803642273,MY
96_ton,2020-01-20,40,0.4733272194862366,MY
96_ton,2020-01-20,50,0.4518616795539856,MY
96_ton,2020-01-21,5,0.7208970785140991,MY
96_ton,2020-01-21,10,0.7012632489204407,MY
96_ton,2020-01-21,15,0.6645622849464417,MY
96_ton,2020-01-21,20,0.5841334462165833,MY
96_ton,2020-01-21,30,0.5204558372497559,MY
96_ton,2020-01-21,40,0.4734928011894226,MY
96_ton,2020-01-21,50,0.4527885615825653,MY
96_ton,2020-01-22,5,0.767657458782196,MY
96_ton,2020-01-22,10,0.7569666504859924,MY
96_ton,2020-01-22,15,0.7143744230270386,MY
96_ton,2020-01-22,20,0.6009958982467651,MY
96_ton,2020-01-22,30,0.5306261777877808,MY
96_ton,2020-01-22,40,0.4829113483428955,MY
96_ton,2020-01-22,50,0.4618798494338989,MY
96_ton,2020-01-23,5,0.7766692042350769,MY
96_ton,2020-01-23,10,0.7624610066413879,MY
96_ton,2020-01-23,15,0.7160685658454895,MY
96_ton,2020-01-23,20,0.5924097895622253,MY
96_ton,2020-01-23,30,0.5287585258483887,MY
96_ton,2020-01-23,40,0.4898938238620758,MY
96_ton,2020-01-23,50,0.4708738625049591,MY
96_ton,2020-01-24,5,0.7285386919975281,MY
96_ton,2020-01-24,10,0.7189025282859802,MY
96_ton,2020-01-24,15,0.6879841685295105,MY
96_ton,2020-01-24,20,0.63611900806427,MY
96_ton,2020-01-24,30,0.5636156797409058,MY
96_ton,2020-01-24,40,0.5125762224197388,MY
96_ton,2020-01-24,50,0.4858946204185486,MY
96_ton,2020-01-25,5,0.7555238008499146,MY
96_ton,2020-01-25,10,0.7527434229850769,MY
96_ton,2020-01-25,15,0.7354743480682373,MY
96_ton,2020-01-25,20,0.6998527646064758,MY
96_ton,2020-01-25,30,0.6079352498054504,MY
96_ton,2020-01-25,40,0.5370283126831055,MY
96_ton,2020-01-25,50,0.5124173760414124,MY
96_ton,2020-01-26,5,0.8258511424064636,MY
96_ton,2020-01-26,10,0.8243200778961182,MY
96_ton,2020-01-26,15,0.810977578163147,MY
96_ton,2020-01-26,20,0.7708597779273987,MY
96_ton,2020-01-26,30,0.6448987126350403,MY
96_ton,2020-01-26,40,0.527349054813385,MY
96_ton,2020-01-26,50,0.5094717741012573,MY
96_ton,2020-01-27,5,0.8759221434593201,MY
96_ton,2020-01-27,10,0.8748129606246948,MY
96_ton,2020-01-27,15,0.8602777123451233,MY
96_ton,2020-01-27,20,0.789084255695343,MY
96_ton,2020-01-27,30,0.64316326379776,MY
96_ton,2020-01-27,40,0.5078620314598083,MY
96_ton,2020-01-27,50,0.4855020940303802,MY
96_ton,2020-01-28,5,0.9236211776733398,MY
96_ton,2020-01-28,10,0.9191687107086182,MY
96_ton,2020-01-28,15,0.8944840431213379,MY
96_ton,2020-01-28,20,0.7891123294830322,MY
96_ton,2020-01-28,30,0.6186597347259521,MY
96_ton,2020-01-28,40,0.4912740588188171,MY
96_ton,2020-01-28,50,0.4499259293079376,MY
96_ton,2020-01-29,5,0.9549931883811952,MY
96_ton,2020-01-29,10,0.9460652470588684,MY
96_ton,2020-01-29,15,0.9083898663520812,MY
96_ton,2020-01-29,20,0.8013924956321716,MY
96_ton,2020-01-29,30,0.6007193922996521,MY
96_ton,2020-01-29,40,0.5061526894569397,MY
96_ton,2020-01-29,50,0.4494273066520691,MY
96_ton,2020-01-30,5,0.8917655348777771,MY
96_ton,2020-01-30,10,0.8892812728881836,MY
