Site,Date,Depth,Temp,Source
1_sou,2020-01-01,5,-0.0658284053206443,MY
1_sou,2020-01-01,10,-0.0277413055300712,MY
1_sou,2020-01-01,15,0.5655385181307793,MY
1_sou,2020-01-01,20,1.1925107762217522,MY
1_sou,2020-01-01,30,3.6212958320975295,MY
1_sou,2020-01-01,40,3.99337749928236,MY
1_sou,2020-01-02,5,-0.0863368436694145,MY
1_sou,2020-01-02,10,-0.0804772898554802,MY
1_sou,2020-01-02,15,0.1949217393994331,MY
1_sou,2020-01-02,20,0.5992309525609016,MY
1_sou,2020-01-02,30,3.4638203233480453,MY
1_sou,2020-01-02,40,3.905484192073345,MY
1_sou,2020-01-03,5,-0.1434674933552742,MY
1_sou,2020-01-03,10,-0.1346781626343727,MY
1_sou,2020-01-03,15,0.027192011475563,MY
1_sou,2020-01-03,20,0.3384808078408241,MY
1_sou,2020-01-03,30,3.2111270651221275,MY
1_sou,2020-01-03,40,3.853480651974678,MY
1_sou,2020-01-04,5,-0.2093874737620353,MY
1_sou,2020-01-04,10,-0.1910763680934906,MY
1_sou,2020-01-04,15,-0.1471297144889831,MY
1_sou,2020-01-04,20,-0.0848719552159309,MY
1_sou,2020-01-04,30,2.288247339427471,MY
1_sou,2020-01-04,40,3.762657567858696,MY
1_sou,2020-01-05,5,-0.2313608005642891,MY
1_sou,2020-01-05,10,-0.2247688025236129,MY
1_sou,2020-01-05,15,-0.1676381528377533,MY
1_sou,2020-01-05,20,-0.0431226342916488,MY
1_sou,2020-01-05,30,2.061922073364258,MY
1_sou,2020-01-05,40,3.654255822300911,MY
1_sou,2020-01-06,5,-0.2892238944768905,MY
1_sou,2020-01-06,10,-0.270180344581604,MY
1_sou,2020-01-06,15,-0.1039155051112175,MY
1_sou,2020-01-06,20,0.0118106827139854,MY
1_sou,2020-01-06,30,1.6422315314412117,MY
1_sou,2020-01-06,40,3.500442534685135,MY
1_sou,2020-01-07,5,-0.5228736028075218,MY
1_sou,2020-01-07,10,-0.5023651644587517,MY
1_sou,2020-01-07,15,-0.2284310236573219,MY
1_sou,2020-01-07,20,-0.1214941665530204,MY
1_sou,2020-01-07,30,1.2225409895181656,MY
1_sou,2020-01-07,40,3.303415037691593,MY
1_sou,2020-01-08,5,-0.5682851448655128,MY
1_sou,2020-01-08,10,-0.5580309256911278,MY
1_sou,2020-01-08,15,-0.2408825755119323,MY
1_sou,2020-01-08,20,-0.032135970890522,MY
1_sou,2020-01-08,30,1.9381389990448952,MY
1_sou,2020-01-08,40,3.471877209842205,MY
1_sou,2020-01-09,5,-0.5843989178538322,MY
1_sou,2020-01-09,10,-0.5829340294003487,MY
1_sou,2020-01-09,15,-0.4642780646681785,MY
1_sou,2020-01-09,20,-0.3111972212791443,MY
1_sou,2020-01-09,30,1.063600592315197,MY
1_sou,2020-01-09,40,3.4521012157201767,MY
1_sou,2020-01-10,5,-0.5983153581619263,MY
1_sou,2020-01-10,10,-0.5946531370282173,MY
1_sou,2020-01-10,15,-0.5023651644587517,MY
1_sou,2020-01-10,20,-0.1039155051112175,MY
1_sou,2020-01-10,30,1.6649373024702072,MY
1_sou,2020-01-10,40,3.608111836016178,MY
