Site,Date,Depth,Temp
2_sar,2020-01-01,5,0.0791955515742302
2_sar,2020-01-01,10,0.1656239703297615
2_sar,2020-01-01,15,0.7823420092463493
2_sar,2020-01-01,20,1.2584307566285131
2_sar,2020-01-02,5,-0.0204168632626533
2_sar,2020-01-02,10,0.0015564635396003
2_sar,2020-01-02,15,0.2608417198061943
2_sar,2020-01-02,20,0.5274514183402061
2_sar,2020-01-03,5,-0.2181768044829368
2_sar,2020-01-03,10,-0.1903439238667488
2_sar,2020-01-03,15,-0.0336008593440055
2_sar,2020-01-03,20,0.2300790622830391
2_sar,2020-01-04,5,-0.4261909648776054
2_sar,2020-01-04,10,-0.2687154561281204
2_sar,2020-01-04,15,-0.0621661841869354
2_sar,2020-01-04,20,0.1663564145565033
2_sar,2020-01-05,5,-0.5389873757958412
2_sar,2020-01-05,10,-0.4217962995171547
2_sar,2020-01-05,15,-0.1522568240761757
2_sar,2020-01-05,20,-0.0445875227451324
2_sar,2020-01-06,5,-0.4034851938486099
2_sar,2020-01-06,10,-0.3866389766335487
2_sar,2020-01-06,15,-0.284096784889698
2_sar,2020-01-06,20,-0.2423474639654159
2_sar,2020-01-07,5,-0.4987029433250427
2_sar,2020-01-07,10,-0.4342478513717651
2_sar,2020-01-07,15,-0.3866389766335487
2_sar,2020-01-07,20,-0.2218390256166458
2_sar,2020-01-08,5,-0.5499740391969681
2_sar,2020-01-08,10,-0.427655853331089
2_sar,2020-01-08,15,-0.2767723426222801
2_sar,2020-01-08,20,-0.1017181724309921
2_sar,2020-01-09,5,-0.6151615753769875
2_sar,2020-01-09,10,-0.5507064834237099
2_sar,2020-01-09,15,-0.1976683661341667
2_sar,2020-01-09,20,-0.0533768534660339
2_sar,2020-01-10,5,-0.6847437769174576
2_sar,2020-01-10,10,-0.6173589080572128
2_sar,2020-01-10,15,-0.25626390427351
2_sar,2020-01-10,20,-0.1009857282042503
2_sar,2020-01-11,5,-0.7250282093882561
2_sar,2020-01-11,10,-0.6276131272315979
2_sar,2020-01-11,15,-0.1134372800588607
2_sar,2020-01-11,20,0.1004364341497421
2_sar,2020-01-12,5,-0.7653126418590546
2_sar,2020-01-12,10,-0.6598406732082367
2_sar,2020-01-12,15,0.0528275594115257
2_sar,2020-01-12,20,0.4644612148404121
2_sar,2020-01-13,5,-0.8334299549460411
2_sar,2020-01-13,10,-0.623950906097889
2_sar,2020-01-13,15,0.3692434653639793
2_sar,2020-01-13,20,0.8460646569728851
2_sar,2020-01-14,5,-0.8275704011321068
2_sar,2020-01-14,10,-0.2189092487096786
2_sar,2020-01-14,15,1.3990600481629372
2_sar,2020-01-14,20,1.8084963709115984
2_sar,2020-01-15,5,-0.6993926614522934
2_sar,2020-01-15,10,0.1795404106378555
2_sar,2020-01-15,15,1.9439985528588293
2_sar,2020-01-15,20,2.4904019460082054
2_sar,2020-01-16,5,-0.7850886359810829
2_sar,2020-01-16,10,0.142918199300766
2_sar,2020-01-16,15,1.9938047602772715
2_sar,2020-01-16,20,2.7284463196992874
2_sar,2020-01-17,5,-0.8041321858763695
2_sar,2020-01-17,10,-0.2408825755119323
2_sar,2020-01-17,15,1.5580004453659058
2_sar,2020-01-17,20,2.432538852095604
2_sar,2020-01-18,5,-0.8436841741204262
2_sar,2020-01-18,10,-0.1317483857274055
2_sar,2020-01-18,15,1.9359416663646696
2_sar,2020-01-18,20,2.421552188694477
2_sar,2020-01-19,5,-0.7220984324812889
2_sar,2020-01-19,10,0.265236385166645
2_sar,2020-01-19,15,2.6398205682635307
2_sar,2020-01-19,20,2.677175223827362
2_sar,2020-01-20,5,-0.6664326712489128
2_sar,2020-01-20,10,0.2388683930039405
2_sar,2020-01-20,15,2.509445495903492
2_sar,2020-01-20,20,2.656666785478592
2_sar,2020-01-21,5,-0.8033997416496277
2_sar,2020-01-21,10,0.0022889077663421
2_sar,2020-01-21,15,2.0135807543993
2_sar,2020-01-21,20,2.512375272810459
2_sar,2020-01-22,5,-0.665700227022171
2_sar,2020-01-22,10,-0.1888790354132652
2_sar,2020-01-22,15,1.7403790578246117
2_sar,2020-01-22,20,2.183507815003395
2_sar,2020-01-23,5,-0.6093020215630531
2_sar,2020-01-23,10,0.2139652892947197
2_sar,2020-01-23,15,2.0846278443932533
2_sar,2020-01-23,20,2.130771830677986
2_sar,2020-01-24,5,-0.2753074541687965
2_sar,2020-01-24,10,0.072603553533554
2_sar,2020-01-24,15,1.3214209601283071
2_sar,2020-01-24,20,2.2384411320090294
2_sar,2020-01-25,5,-0.4862513914704323
2_sar,2020-01-25,10,-0.319254107773304
2_sar,2020-01-25,15,0.3589892461895942
2_sar,2020-01-25,20,1.4715720266103745
2_sar,2020-01-26,5,-0.7975401878356934
