Site,Date,Depth,Temp
4_ris,2020-01-01,5,5.5183263793587685
4_ris,2020-01-01,10,5.5183263793587685
4_ris,2020-01-01,15,5.51905882358551
4_ris,2020-01-01,20,5.51905882358551
4_ris,2020-01-01,30,5.537369929254055
4_ris,2020-01-01,40,5.603289909660816
4_ris,2020-01-01,50,5.639912120997906
4_ris,2020-01-01,65,5.62526323646307
4_ris,2020-01-01,80,5.618671238422394
4_ris,2020-01-02,5,5.467055283486843
4_ris,2020-01-02,10,5.467055283486843
4_ris,2020-01-02,15,5.467055283486843
4_ris,2020-01-02,20,5.467055283486843
4_ris,2020-01-02,30,5.4692526161670685
4_ris,2020-01-02,40,5.521256156265736
4_ris,2020-01-02,50,5.565935254096985
4_ris,2020-01-02,65,5.598162800073624
4_ris,2020-01-02,80,5.627460569143295
4_ris,2020-01-03,5,5.460463285446167
4_ris,2020-01-03,10,5.460463285446167
4_ris,2020-01-03,15,5.460463285446167
4_ris,2020-01-03,20,5.460463285446167
4_ris,2020-01-03,30,5.46998506039381
4_ris,2020-01-03,40,5.544694371521473
4_ris,2020-01-03,50,5.617938794195652
4_ris,2020-01-03,65,5.668477445840836
4_ris,2020-01-03,80,5.722678318619728
4_ris,2020-01-04,5,5.493423275649548
4_ris,2020-01-04,10,5.493423275649548
4_ris,2020-01-04,15,5.493423275649548
4_ris,2020-01-04,20,5.493423275649548
4_ris,2020-01-04,30,5.5007477179169655
4_ris,2020-01-04,40,5.556413479149342
4_ris,2020-01-04,50,5.708029434084892
4_ris,2020-01-04,65,5.8054445162415504
4_ris,2020-01-04,80,5.738792091608048
4_ris,2020-01-05,5,5.250251792371273
4_ris,2020-01-05,10,5.268562898039818
4_ris,2020-01-05,15,5.313241995871067
4_ris,2020-01-05,20,5.33082065731287
4_ris,2020-01-05,30,5.405529968440533
4_ris,2020-01-05,40,5.62526323646307
4_ris,2020-01-05,50,5.747581422328949
4_ris,2020-01-05,65,5.72341076284647
4_ris,2020-01-05,80,5.623798348009586
4_ris,2020-01-06,5,2.5958739146590237
4_ris,2020-01-06,10,3.3869136795401573
4_ris,2020-01-06,15,4.3910947144031525
4_ris,2020-01-06,20,4.652577303349972
4_ris,2020-01-06,30,5.185064256191254
4_ris,2020-01-06,40,5.344737097620964
4_ris,2020-01-06,50,5.3535264283418655
4_ris,2020-01-06,65,5.348399318754673
4_ris,2020-01-06,80,5.300057999789715
