Date,Depth,CorrTemp,CorrLow,CorrHigh
2024-01-01 09:30:00,5,7.700,4.790,10.610
2024-01-01 09:30:00,10,7.540,4.750,10.330
2024-01-01 09:30:00,15,7.890,5.200,10.580
2024-01-01 09:30:00,20,8.680,5.880,11.490
2024-01-01 09:30:00,30,8.750,6.120,11.380
2024-01-01 09:30:00,40,8.550,6.170,10.920
2024-01-01 09:30:00,50,8.340,6.430,10.250
2024-01-01 10:30:00,5,7.700,4.790,10.610
2024-01-01 10:30:00,10,7.540,4.750,10.330
2024-01-01 10:30:00,15,7.890,5.200,10.580
2024-01-01 10:30:00,20,8.680,5.880,11.490
2024-01-01 10:30:00,30,8.750,6.120,11.380
2024-01-01 10:30:00,40,8.550,6.170,10.920
2024-01-01 10:30:00,50,8.340,6.430,10.250
2024-01-01 11:30:00,5,7.697,4.787,10.607
2024-01-01 11:30:00,10,7.537,4.747,10.327
2024-01-01 11:30:00,15,7.890,5.200,10.580
2024-01-01 11:30:00,20,8.680,5.870,11.490
2024-01-01 11:30:00,30,8.750,6.110,11.380
2024-01-01 11:30:00,40,8.550,6.180,10.930
2024-01-01 11:30:00,50,8.340,6.430,10.260
2024-01-01 12:30:00,5,7.695,4.785,10.605
2024-01-01 12:30:00,10,7.534,4.744,10.324
2024-01-01 12:30:00,15,7.890,5.200,10.580
2024-01-01 12:30:00,20,8.679,5.879,11.489
2024-01-01 12:30:00,30,8.750,6.120,11.380
2024-01-01 12:30:00,40,8.550,6.170,10.920
2024-01-01 12:30:00,50,8.340,6.430,10.250
2024-01-01 13:30:00,5,7.694,4.784,10.604
2024-01-01 13:30:00,10,7.534,4.744,10.324
2024-01-01 13:30:00,15,7.890,5.200,10.580
2024-01-01 13:30:00,20,8.679,5.879,11.489
2024-01-01 13:30:00,30,8.749,6.119,11.379
2024-01-01 13:30:00,40,8.549,6.169,10.919
2024-01-01 13:30:00,50,8.339,6.429,10.249
2024-01-01 14:30:00,5,7.692,4.782,10.602
2024-01-01 14:30:00,10,7.531,4.741,10.321
2024-01-01 14:30:00,15,7.889,5.199,10.579
2024-01-01 14:30:00,20,8.678,5.868,11.488
2024-01-01 14:30:00,30,8.749,6.119,11.379
2024-01-01 14:30:00,40,8.549,6.179,10.929
2024-01-01 14:30:00,50,8.339,6.419,10.249
2024-01-01 15:30:00,5,7.691,4.781,10.601
