Date,Depth,Temp,Salinity
2023/3/22 5:00,5,4.43,33.35
2023/3/22 5:00,10,4.43,33.4
2023/3/22 5:00,15,4.43,33.42
2023/3/22 5:00,20,4.44,33.44
2023/3/22 5:00,30,4.44,33.47
2023/3/22 5:00,40,4.44,33.48
2023/3/25 5:00,5,4.67,33.87
2023/3/25 5:00,10,4.67,33.89
2023/3/25 5:00,15,4.67,33.9
2023/3/25 5:00,20,4.68,33.91
2023/3/25 5:00,30,4.68,33.91
2023/3/25 5:00,40,4.69,33.92
2023/3/28 5:00,5,4.13,33.99
2023/3/28 5:00,10,4.13,34
2023/3/28 5:00,15,4.13,34
2023/3/28 5:00,20,4.12,34.01
2023/3/28 5:00,30,4.12,34.01
2023/3/28 5:00,40,4.12,34.01
2023/3/31 6:00,5,5.16,33.73
2023/3/31 6:00,10,5.16,33.74
2023/3/31 6:00,15,5.16,33.76
2023/3/31 6:00,20,5.16,33.77
2023/3/31 6:00,30,5.16,33.78
2023/3/31 6:00,40,5.16,33.79
2023/4/4 4:00,5,4.98,33.76
2023/4/4 4:00,10,4.92,33.88
2023/4/4 4:00,15,4.91,33.9
2023/4/4 4:00,20,4.91,33.91
2023/4/4 4:00,30,4.91,33.92
2023/4/4 4:00,40,4.91,33.93
2023/4/8 4:00,5,5.22,33.79
2023/4/8 4:00,10,5.22,33.79
2023/4/8 4:00,15,5.22,33.79
2023/4/8 4:00,20,5.2,33.8
2023/4/8 4:00,30,5.19,33.8
2023/4/8 4:00,40,5.19,33.8
2023/4/8 4:00,50,5.2,33.8
2023/4/12 4:00,5,5.91,33.48
2023/4/12 4:00,10,5.77,33.68
2023/4/12 4:00,15,5.73,33.72
2023/4/12 4:00,20,5.68,33.76
2023/4/12 4:00,30,5.6,33.83
2023/4/12 4:00,40,5.58,33.86
2023/4/14 4:00,5,5.65,33.94
2023/4/14 4:00,10,5.63,33.97
2023/4/14 4:00,15,5.63,33.97
2023/4/14 4:00,20,5.63,33.98
2023/4/14 4:00,30,5.63,33.99
2023/4/14 4:00,40,5.63,33.99
2023/4/18 4:00,5,4.57,34.03
2023/4/18 4:00,10,4.56,34.04
2023/4/18 4:00,15,4.56,34.04
2023/4/18 4:00,20,4.56,34.04
2023/4/18 4:00,30,4.56,34.05
2023/4/18 4:00,40,4.57,34.05
2023/4/18 4:00,50,4.57,34.05
2023/4/20 4:00,5,4.99,33.81
2023/4/20 4:00,10,4.29,33.9
2023/4/20 4:00,15,4.1,33.89
2023/4/20 4:00,20,4.1,33.89
2023/4/20 4:00,30,4.12,33.9
2023/4/20 4:00,40,4.15,33.9
2023/4/25 3:00,5,5.98,33.6
2023/4/25 3:00,10,5.96,33.61
2023/4/25 3:00,15,5.95,33.63
2023/4/25 3:00,20,5.93,33.69
2023/4/25 3:00,30,5.92,33.7
2023/4/25 3:00,40,5.91,33.72
2023/4/25 4:00,5,5.95,33.67
2023/4/25 4:00,10,5.95,33.68
2023/4/25 4:00,15,5.94,33.7
2023/4/28 4:00,5,6.71,33.44
2023/4/28 4:00,10,6.67,33.51
2023/4/28 4:00,15,6.64,33.53
2023/4/28 4:00,20,6.64,33.54
2023/4/28 4:00,30,6.63,33.57
2023/4/28 4:00,40,6.63,33.58
2023/5/2 4:00,5,7.5,33.42
2023/5/2 4:00,10,7.48,33.44
2023/5/2 4:00,15,7.44,33.46
2023/5/2 4:00,20,7.43,33.48
2023/5/2 4:00,30,7.43,33.48
2023/5/2 4:00,40,7.42,33.49
2023/5/8 3:00,5,8.21,33.34
2023/5/8 3:00,10,7.8,33.55
2023/5/8 3:00,15,7.62,33.61
2023/5/8 3:00,20,7.01,33.84
2023/5/8 3:00,30,6.68,33.95
2023/5/8 3:00,40,6.65,33.97
2023/5/12 3:00,5,7.52,33.82
2023/5/12 3:00,10,7.48,33.84
2023/5/12 3:00,15,7.45,33.85
2023/5/12 3:00,20,7.4,33.86
2023/5/12 3:00,30,7.33,33.87
2023/5/12 3:00,40,7.29,33.88
2023/5/16 3:00,5,8.65,33.78
2023/5/16 3:00,10,8.32,33.85
2023/5/16 3:00,15,8.28,33.86
2023/5/16 3:00,20,8.25,33.87
2023/5/16 3:00,30,8.21,33.87
2023/5/16 3:00,40,8.21,33.87
2023/5/19 3:00,5,8.75,33.7
2023/5/19 3:00,10,8.05,33.81
2023/5/19 3:00,15,7.96,33.82
2023/5/19 3:00,20,7.88,33.83
2023/5/19 3:00,30,7.82,33.83
2023/5/19 3:00,40,7.74,33.83
2023/5/23 3:00,5,9.01,33.88
2023/5/23 3:00,10,8.9,33.9
2023/5/23 3:00,15,8.79,33.92
2023/5/23 3:00,20,8.65,33.93
2023/5/23 3:00,30,8.34,33.96
2023/5/23 3:00,40,8.09,33.98
2023/5/26 3:00,5,9.2,33.84
2023/5/26 3:00,10,9.15,33.84
2023/5/26 3:00,15,9.09,33.84
2023/5/26 3:00,20,9.07,33.84
2023/5/26 3:00,30,9.02,33.85
2023/5/26 3:00,40,9.01,33.85
2023/5/31 3:00,5,9.67,33.82
2023/5/31 3:00,10,9.67,33.82
2023/5/31 3:00,15,9.67,33.82
2023/5/31 3:00,20,9.67,33.82
2023/5/31 3:00,30,9.66,33.83
2023/5/31 3:00,40,9.65,33.83
2023/6/2 3:00,5,10.69,33.9
2023/6/2 3:00,10,10.37,33.97
2023/6/2 3:00,15,10.25,33.99
2023/6/2 3:00,20,10.06,34.02
2023/6/2 3:00,30,10.03,34.02
2023/6/2 3:00,40,9.84,34.05
2023/6/6 3:00,5,10.93,33.75
2023/6/6 3:00,10,10.27,33.84
2023/6/6 3:00,15,9.77,33.89
2023/6/6 3:00,20,9.56,33.89
2023/6/6 3:00,30,8.66,33.9
2023/6/6 3:00,40,8.29,33.91
2023/6/11 6:00,5,12.07,33.69
2023/6/11 6:00,10,9.63,33.88
2023/6/11 6:00,15,9.29,33.91
2023/6/11 6:00,20,9.22,33.92
2023/6/11 6:00,30,9.2,33.93
2023/6/11 6:00,40,9.13,33.93
2023/6/13 3:00,5,13.16,33.57
2023/6/13 3:00,10,12.3,33.61
2023/6/13 3:00,15,12.27,33.63
2023/6/13 3:00,20,12.26,33.64
2023/6/13 3:00,30,12.16,33.66
2023/6/13 3:00,40,11.9,33.68
2023/6/16 3:00,5,13.97,33.66
2023/6/16 3:00,10,13.69,33.72
2023/6/16 3:00,15,13.41,33.74
2023/6/16 3:00,20,12.3,33.76
2023/6/16 3:00,30,11.78,33.77
2023/6/16 3:00,40,10.37,33.79
2023/6/20 3:00,5,14.03,33.66
2023/6/20 3:00,10,13.63,33.72
2023/6/20 3:00,15,12.68,33.81
2023/6/20 3:00,20,12.09,33.83
2023/6/20 3:00,30,11.42,33.84
2023/6/20 3:00,40,10.5,33.86
2023/6/23 3:00,5,14.16,34.19
2023/6/23 3:00,10,11.56,34.25
2023/6/23 3:00,15,11.21,34.26
2023/6/23 3:00,20,11.14,34.26
2023/6/23 3:00,30,11.01,34.27
2023/6/23 3:00,40,10.89,34.27
2023/6/27 3:00,5,16.31,34.06
2023/6/27 3:00,10,16.01,34.07
2023/6/27 3:00,15,15.01,34.1
2023/6/27 3:00,20,12.85,34.12
2023/6/27 3:00,30,12,34.14
2023/6/27 3:00,40,11.87,34.14
2023/7/2 3:00,5,15.51,33.93
2023/7/2 3:00,10,15.2,33.97
2023/7/2 3:00,15,14.84,33.98
2023/7/2 3:00,20,14.22,34
2023/7/2 3:00,30,11.58,34.12
2023/7/2 3:00,40,10.87,34.11
2023/7/7 3:00,5,16.68,33.78
2023/7/7 3:00,10,14.36,33.86
2023/7/7 3:00,15,12.61,33.95
2023/7/7 3:00,20,12.19,33.96
2023/7/7 3:00,30,12.04,33.96
2023/7/7 3:00,40,12,33.96
2023/7/11 4:00,5,19.36,33.8
2023/7/11 4:00,10,19.19,33.82
2023/7/11 4:00,15,18.01,33.85
2023/7/11 4:00,20,15.25,33.95
2023/7/11 4:00,30,13.98,33.95
2023/7/11 4:00,40,13.65,33.96
2023/7/18 3:00,5,18.44,33.72
2023/7/18 3:00,10,18.21,33.73
2023/7/18 3:00,15,17.1,33.78
2023/7/18 3:00,20,16.56,33.82
2023/7/18 3:00,30,13.66,33.96
2023/7/18 3:00,40,12.04,33.99
2023/7/21 3:00,5,18.93,33.63
2023/7/21 3:00,10,18.65,33.68
2023/7/21 3:00,15,17.64,33.7
2023/7/21 3:00,20,14.09,33.8
2023/7/21 3:00,30,12.89,33.85
2023/7/21 3:00,40,12.58,33.86
2023/7/25 3:00,5,19.81,33.6
2023/7/25 3:00,10,18.67,33.79
2023/7/25 3:00,15,16.2,33.85
2023/7/25 3:00,20,14.3,33.86
2023/7/25 3:00,30,13.09,33.88
2023/7/25 3:00,40,12.88,33.89
2023/8/1 3:00,5,22.18,33.59
2023/8/1 3:00,10,21.54,33.67
2023/8/1 3:00,15,19.24,33.72
2023/8/1 3:00,20,16.54,33.83
2023/8/1 3:00,30,15.77,33.82
2023/8/1 3:00,40,15.68,33.82
2023/8/4 3:00,5,22.77,33.42
2023/8/4 3:00,10,22.77,33.42
2023/8/4 3:00,15,21.4,33.52
2023/8/4 3:00,20,19.21,33.61
2023/8/4 3:00,30,17.45,33.66
2023/8/4 3:00,40,16.28,33.69
2023/8/4 3:00,50,16.28,33.69
2023/8/19 3:00,5,21.31,33.25
2023/8/19 3:00,10,19.86,33.35
2023/8/19 3:00,15,18.79,33.41
2023/8/19 3:00,20,18.57,33.43
2023/8/19 3:00,30,16.46,33.55
2023/8/19 3:00,40,16.06,33.58
2023/8/22 3:00,5,23.38,33.06
2023/8/22 3:00,10,22.52,33.2
2023/8/22 3:00,15,21.97,33.28
2023/8/22 3:00,20,21.46,33.35
2023/8/22 3:00,30,17.45,33.56
2023/8/22 3:00,40,16.37,33.61
2023/8/25 3:00,5,23.64,33.17
2023/8/25 3:00,10,23.02,33.3
2023/8/25 3:00,15,20.03,33.41
2023/8/25 3:00,20,17.38,33.49
2023/8/25 3:00,30,16.48,33.54
2023/8/25 3:00,40,15.46,33.59
2023/8/29 3:00,5,22.89,33.06
2023/8/29 3:00,10,22.32,33.1
2023/8/29 3:00,15,20.5,33.3
2023/8/29 3:00,20,18.92,33.39
2023/8/29 3:00,30,17.43,33.46
2023/8/29 3:00,40,16.42,33.51
2023/9/1 3:00,5,22.62,33.06
2023/9/1 3:00,10,22.15,33.19
2023/9/1 3:00,15,21.16,33.35
2023/9/1 3:00,20,20.43,33.43
2023/9/1 3:00,30,16.42,33.7
2023/9/1 3:00,40,14.78,33.77
2023/9/1 4:00,5,22.63,33.15
2023/9/1 4:00,10,22.28,33.21
2023/9/5 4:00,5,23.98,32.82
2023/9/5 4:00,10,23.6,32.98
2023/9/5 4:00,15,21.88,33.33
2023/9/5 4:00,20,21.5,33.39
2023/9/5 4:00,30,21.18,33.41
2023/9/5 4:00,40,20.74,33.46
2023/9/5 4:00,50,20.62,33.47
2023/9/8 3:00,5,21.69,33.21
2023/9/8 3:00,10,17.92,33.53
2023/9/8 3:00,15,17.33,33.56
2023/9/8 3:00,20,17.1,33.56
2023/9/8 3:00,30,14.27,33.68
2023/9/8 3:00,40,14.09,33.69
2023/9/12 4:00,5,21.46,33.29
2023/9/12 4:00,10,21.44,33.31
2023/9/12 4:00,15,21.38,33.32
2023/9/12 4:00,20,21.31,33.31
2023/9/12 4:00,30,14.43,33.65
2023/9/12 4:00,40,14,33.65
2023/9/15 4:00,5,22.09,33.21
2023/9/15 4:00,10,22.08,33.23
2023/9/15 4:00,15,22,33.23
2023/9/15 4:00,20,21.95,33.23
2023/9/15 4:00,30,16.06,33.48
2023/9/15 4:00,40,14.67,33.53
2023/9/19 4:00,5,22.11,32.96
2023/9/19 4:00,10,21.75,33.01
2023/9/19 4:00,15,19.94,33.11
2023/9/19 4:00,20,16.87,33.3
2023/9/19 4:00,30,15.66,33.33
2023/9/19 4:00,40,15.19,33.35
2023/9/22 4:00,5,21.53,33.02
2023/9/22 4:00,10,21.54,33.05
2023/9/22 4:00,15,21.53,33.08
2023/9/22 4:00,20,21.53,33.09
2023/9/22 4:00,30,21.48,33.1
2023/9/22 4:00,40,21.47,33.11
2023/9/26 4:00,5,21.36,33.03
2023/9/26 4:00,10,21.33,33.07
2023/9/26 4:00,15,20.75,33.18
2023/9/26 4:00,20,20.02,33.3
2023/9/26 4:00,30,15.27,33.51
2023/9/26 4:00,40,14.99,33.52
2023/9/29 4:00,5,21.04,33.11
2023/9/29 4:00,10,20.76,33.2
2023/9/29 4:00,15,19.06,33.33
2023/9/29 4:00,20,16.24,33.47
2023/9/29 4:00,30,15.08,33.49
2023/9/29 4:00,40,14.65,33.49
2023/10/4 4:00,5,19.49,33.09
2023/10/4 4:00,10,19.48,33.12
2023/10/4 4:00,15,19.49,33.12
2023/10/4 4:00,20,19.49,33.13
2023/10/4 4:00,30,19.47,33.13
2023/10/4 4:00,40,19.46,33.14
2023/10/4 4:00,50,19.46,33.14
2023/10/10 4:00,5,17.8,32.94
2023/10/10 4:00,10,17.36,33.01
2023/10/10 4:00,15,16.35,33.06
2023/10/10 4:00,20,15.57,33.02
2023/10/10 4:00,30,13.86,33.06
2023/10/10 4:00,40,12.95,33.12
2023/10/13 4:00,5,16.35,33.1
2023/10/13 4:00,10,16.28,33.15
2023/10/13 4:00,15,15.9,33.22
2023/10/13 4:00,20,14.63,33.31
2023/10/13 4:00,30,13.12,33.4
2023/10/13 4:00,40,13.03,33.4
2023/10/20 4:00,5,16.53,32.85
2023/10/20 4:00,10,16.53,32.93
2023/10/20 4:00,15,16.54,32.95
2023/10/20 4:00,20,16.54,32.97
2023/10/20 4:00,30,16.51,32.97
2023/10/20 4:00,40,16.51,32.97
2023/10/24 5:00,5,14.95,33.29
2023/10/24 5:00,10,14.93,33.31
2023/10/24 5:00,15,14.92,33.33
2023/10/24 5:00,20,14.93,33.34
2023/10/24 5:00,30,14.87,33.34
2023/10/24 5:00,40,14.83,33.34
2023/10/27 5:00,5,16.05,32.83
2023/10/27 5:00,10,15.98,33.14
2023/10/27 5:00,15,15.92,33.21
2023/10/27 5:00,20,15.89,33.23
2023/10/27 5:00,30,15.87,33.25
2023/10/27 5:00,40,15.86,33.26
2023/10/31 4:00,5,15.58,32.52
2023/10/31 4:00,10,15.5,32.63
2023/10/31 4:00,15,15.45,32.7
2023/10/31 4:00,20,15.44,32.74
2023/10/31 4:00,30,15.36,32.82
2023/10/31 4:00,40,15.34,32.88
2023/10/31 4:00,50,15.33,32.89
2023/10/31 5:00,5,15.55,32.9
2023/10/31 5:00,10,15.52,32.9
2023/10/31 5:00,15,15.45,32.91
2023/10/31 5:00,20,15.42,32.92
2023/10/31 5:00,30,15.35,32.92
2023/11/9 5:00,5,14.73,32.37
2023/11/9 5:00,10,14.51,32.37
2023/11/9 5:00,15,14.17,32.35
2023/11/9 5:00,20,14.17,32.37
2023/11/9 5:00,30,14.26,32.46
2023/11/9 5:00,40,14.31,32.54
2023/11/14 6:00,5,13.39,32.59
2023/11/14 6:00,10,13.4,32.61
2023/11/14 6:00,15,13.4,32.63
2023/11/14 6:00,20,13.41,32.64
2023/11/14 6:00,30,13.41,32.63
2023/11/14 6:00,40,13.41,32.64
2023/11/22 7:00,5,13.12,32.91
2023/11/22 7:00,10,13.12,32.94
2023/11/22 7:00,15,13.12,32.95
2023/11/22 7:00,20,13.12,32.95
2023/11/22 7:00,30,13.12,32.96
2023/11/22 7:00,40,13.13,32.97
2024/4/2 4:00,5,4.24,33.02
2024/4/2 4:00,10,4.24,33.06
2024/4/2 4:00,15,4.24,33.08
2024/4/2 4:00,20,4.25,33.09
2024/4/2 4:00,30,4.25,33.09
2024/4/2 4:00,40,4.25,33.1
2024/4/2 4:00,50,4.25,33.1
2024/4/5 4:00,5,4.66,33.04
2024/4/5 4:00,10,4.66,33.06
2024/4/5 4:00,15,4.66,33.09
2024/4/5 4:00,20,4.66,33.09
2024/4/5 4:00,30,4.66,33.11
2024/4/5 4:00,40,4.67,33.12
2024/4/10 4:00,5,4.81,33.01
2024/4/10 4:00,10,4.79,33.09
2024/4/10 4:00,15,4.73,33.19
2024/4/10 4:00,20,4.72,33.22
2024/4/10 4:00,30,4.71,33.21
2024/4/10 4:00,40,4.71,33.22
2024/4/13 4:00,5,5.5,33.12
2024/4/13 4:00,10,5.33,33.37
2024/4/13 4:00,15,5.12,33.48
2024/4/13 4:00,20,4.96,33.52
2024/4/13 4:00,30,4.91,33.54
2024/4/13 4:00,40,4.91,33.55
2024/4/16 4:00,5,5.48,32.76
2024/4/16 4:00,10,5.44,32.85
2024/4/16 4:00,15,5.44,32.86
2024/4/16 4:00,20,5.43,32.89
2024/4/16 4:00,30,5.43,32.9
2024/4/16 4:00,40,5.43,32.92
2024/4/20 4:00,5,4.47,33.44
2024/4/20 4:00,10,4.46,33.46
2024/4/20 4:00,15,4.45,33.48
2024/4/20 4:00,20,4.45,33.48
2024/4/20 4:00,30,4.46,33.49
2024/4/20 4:00,40,4.45,33.5
2024/4/20 4:00,50,4.45,33.5
