Date,Depth,Temp,Salinity
2021-08-29 03:00:00,5,21.84,34.48
2021-08-29 03:00:00,10,21.85,34.17
2021-08-29 03:00:00,15,21.76,34.18
2021-08-29 03:00:00,20,20.63,34.04
2021-08-29 03:00:00,30,18.14,34.07
2021-08-29 03:00:00,40,13.90,34.15
2021-08-29 03:00:00,50,11.96,34.19
2021-08-29 03:00:00,65,10.54,34.16
2021-08-29 03:00:00,80,9.38,34.15
2021-08-29 03:00:00,100,8.78,34.13
2021-08-29 07:00:00,5,21.98,34.19
2021-08-29 07:00:00,10,21.90,34.16
2021-08-29 07:00:00,15,21.58,34.20
2021-08-29 07:00:00,20,20.04,34.10
2021-08-29 07:00:00,30,17.08,34.09
2021-08-29 07:00:00,40,12.76,34.22
2021-08-29 07:00:00,50,11.01,34.18
2021-08-29 07:00:00,65,10.11,34.23
2021-08-29 07:00:00,80,9.10,34.15
2021-08-29 07:00:00,100,8.45,34.15
2021-09-01 03:00:00,5,21.55,34.70
2021-09-01 03:00:00,10,21.55,34.05
2021-09-01 03:00:00,15,21.55,34.05
2021-09-01 03:00:00,20,21.45,34.06
2021-09-01 03:00:00,30,19.85,34.06
2021-09-01 03:00:00,40,18.12,34.14
2021-09-01 03:00:00,50,15.12,34.20
2021-09-01 03:00:00,65,11.84,34.24
2021-09-01 03:00:00,80,9.92,34.17
2021-09-01 03:00:00,100,9.13,34.13
2021-09-01 07:00:00,5,21.44,34.09
2021-09-01 07:00:00,10,21.44,34.09
2021-09-01 07:00:00,15,21.44,34.09
2021-09-01 07:00:00,20,21.43,34.09
2021-09-01 07:00:00,30,20.49,34.13
2021-09-01 07:00:00,40,18.28,34.24
2021-09-01 07:00:00,50,13.50,34.30
2021-09-01 07:00:00,65,11.12,34.26
2021-09-01 07:00:00,80,9.60,34.18
2021-09-01 07:00:00,100,9.11,34.15
2021-09-02 03:00:00,5,21.38,34.14
2021-09-02 03:00:00,10,21.38,34.12
2021-09-02 03:00:00,15,21.38,34.12
2021-09-02 03:00:00,20,21.30,34.12
2021-09-02 03:00:00,30,19.42,34.06
2021-09-02 03:00:00,40,16.67,34.18
2021-09-02 03:00:00,50,12.83,34.27
2021-09-02 03:00:00,65,11.56,34.29
2021-09-02 03:00:00,80,9.74,34.18
2021-09-02 03:00:00,100,9.17,34.14
2021-09-02 07:00:00,5,21.36,34.16
2021-09-02 07:00:00,10,21.35,34.15
2021-09-02 07:00:00,15,21.34,34.15
2021-09-02 07:00:00,20,21.00,34.14
2021-09-02 07:00:00,30,18.75,34.11
2021-09-02 07:00:00,40,16.62,34.22
2021-09-02 07:00:00,50,12.69,34.28
2021-09-02 07:00:00,65,11.36,34.29
2021-09-02 07:00:00,80,9.75,34.19
2021-09-02 07:00:00,100,9.17,34.16
2021-09-03 03:00:00,5,21.35,34.12
2021-09-03 03:00:00,10,21.30,34.07
2021-09-03 03:00:00,15,21.24,34.07
2021-09-03 03:00:00,20,21.22,34.07
2021-09-03 03:00:00,30,20.05,34.09
2021-09-03 03:00:00,40,17.09,33.99
2021-09-03 03:00:00,50,13.22,34.18
2021-09-03 03:00:00,65,11.28,34.22
2021-09-03 03:00:00,80,9.85,34.14
2021-09-03 03:00:00,100,8.77,34.10
2021-09-03 07:00:00,5,21.65,34.12
2021-09-03 07:00:00,10,21.63,34.10
2021-09-03 07:00:00,15,21.60,34.12
2021-09-03 07:00:00,20,21.45,34.13
2021-09-03 07:00:00,30,20.46,34.16
2021-09-03 07:00:00,40,18.19,34.14
2021-09-03 07:00:00,50,13.79,34.22
2021-09-03 07:00:00,65,12.06,34.31
2021-09-03 07:00:00,80,10.23,34.19
2021-09-03 07:00:00,100,9.10,34.15
2021-09-06 03:00:00,5,21.53,34.10
2021-09-06 03:00:00,10,21.53,34.08
2021-09-06 03:00:00,15,21.53,34.08
2021-09-06 03:00:00,20,21.53,34.08
2021-09-06 03:00:00,30,19.57,34.08
2021-09-06 03:00:00,40,16.82,34.13
2021-09-06 03:00:00,50,13.76,34.18
2021-09-06 03:00:00,65,11.74,34.23
2021-09-06 03:00:00,80,10.21,34.16
2021-09-06 03:00:00,100,9.27,34.12
2021-09-06 07:00:00,5,21.49,34.15
2021-09-06 07:00:00,10,21.49,34.14
2021-09-06 07:00:00,15,21.48,34.15
2021-09-06 07:00:00,20,21.47,34.15
2021-09-06 07:00:00,30,20.11,34.17
2021-09-06 07:00:00,40,16.68,34.18
2021-09-06 07:00:00,50,13.06,34.28
2021-09-06 07:00:00,65,11.61,34.24
2021-09-06 07:00:00,80,9.70,34.18
2021-09-06 07:00:00,100,8.83,34.14
2021-09-07 03:00:00,5,21.46,34.52
2021-09-07 03:00:00,10,21.46,34.14
2021-09-07 03:00:00,15,21.42,34.13
2021-09-07 03:00:00,20,21.38,34.13
2021-09-07 03:00:00,30,19.89,34.10
2021-09-07 03:00:00,40,15.65,34.18
2021-09-07 03:00:00,50,13.13,34.29
2021-09-07 03:00:00,65,11.35,34.23
