Date,Depth,Temp,Salinity
2021-09-15 02:00:00,5,21.14,34.10
2021-09-15 02:00:00,10,21.13,34.09
2021-09-15 02:00:00,15,21.14,34.09
2021-09-15 02:00:00,20,21.14,34.09
2021-09-15 02:00:00,30,16.91,34.45
2021-09-15 02:00:00,40,12.14,34.61
2021-09-15 02:00:00,50,11.60,34.23
2021-09-15 02:00:00,65,10.43,34.19
2021-09-15 02:00:00,80,9.99,34.15
2021-09-15 02:00:00,100,9.72,34.15
2021-09-15 08:00:00,100,8.99,34.13
2021-09-15 09:00:00,100,7.74,34.10
2021-09-15 10:00:00,100,9.11,34.12
2021-09-15 11:00:00,5,21.40,34.16
2021-09-15 11:00:00,100,9.62,34.14
2021-09-16 01:00:00,5,21.12,34.08
2021-09-16 01:00:00,10,21.12,34.08
2021-09-16 01:00:00,15,21.12,34.08
2021-09-16 01:00:00,20,21.12,34.09
2021-09-16 01:00:00,30,17.04,34.77
2021-09-16 01:00:00,40,13.49,34.25
2021-09-16 01:00:00,50,11.95,34.24
2021-09-16 01:00:00,65,10.68,34.19
2021-09-16 01:00:00,80,10.23,34.17
2021-09-16 01:00:00,100,9.91,34.24
2021-09-16 02:00:00,100,9.82,34.17
2021-09-18 02:00:00,5,20.60,34.13
2021-09-18 02:00:00,10,20.61,34.13
2021-09-18 02:00:00,15,20.60,34.13
2021-09-18 02:00:00,20,20.14,34.15
2021-09-18 02:00:00,30,12.62,34.20
2021-09-18 02:00:00,40,11.83,34.20
2021-09-18 02:00:00,50,10.70,34.18
2021-09-18 02:00:00,65,10.24,34.15
2021-09-18 02:00:00,80,7.88,34.11
2021-09-18 02:00:00,100,5.31,34.06
2021-09-18 03:00:00,100,5.36,34.04
2021-09-18 04:00:00,100,5.41,34.03
2021-09-18 05:00:00,5,20.82,34.15
2021-09-18 05:00:00,10,20.80,34.13
2021-09-18 05:00:00,15,20.75,34.13
2021-09-18 05:00:00,20,20.74,34.12
2021-09-18 05:00:00,30,18.72,34.05
2021-09-18 05:00:00,40,12.08,34.17
2021-09-18 05:00:00,50,10.71,34.16
2021-09-18 05:00:00,65,10.44,34.14
2021-09-18 05:00:00,80,9.67,34.11
2021-09-18 05:00:00,100,5.51,34.03
2021-09-20 02:00:00,5,20.80,34.33
2021-09-20 02:00:00,10,20.79,34.32
2021-09-20 02:00:00,15,20.81,34.32
2021-09-20 02:00:00,20,20.82,34.32
2021-09-20 02:00:00,30,18.72,34.29
2021-09-20 02:00:00,40,12.87,34.29
2021-09-20 02:00:00,50,11.77,34.32
2021-09-20 02:00:00,65,10.24,34.28
2021-09-20 02:00:00,80,7.39,34.20
2021-09-20 02:00:00,100,6.69,34.05
2021-09-20 05:00:00,5,20.86,34.27
2021-09-20 05:00:00,10,20.87,34.27
2021-09-20 05:00:00,15,20.88,34.27
2021-09-20 05:00:00,20,20.88,34.27
2021-09-20 05:00:00,30,15.64,34.34
2021-09-20 05:00:00,40,11.59,34.21
2021-09-20 05:00:00,50,10.65,34.27
2021-09-20 05:00:00,65,8.87,34.20
2021-09-20 05:00:00,80,7.26,34.17
2021-09-21 01:00:00,5,20.64,34.15
2021-09-21 01:00:00,10,20.66,34.16
2021-09-21 01:00:00,15,20.66,34.16
2021-09-21 01:00:00,20,20.66,34.16
2021-09-21 01:00:00,30,15.21,34.06
2021-09-21 01:00:00,40,13.31,34.20
2021-09-21 01:00:00,50,11.96,34.06
2021-09-21 01:00:00,65,10.23,34.12
2021-09-21 01:00:00,80,8.81,34.12
2021-09-21 02:00:00,5,20.73,34.29
2021-09-21 02:00:00,10,20.77,34.27
2021-09-21 02:00:00,15,20.78,34.26
2021-09-21 02:00:00,20,20.78,34.24
2021-09-21 02:00:00,30,16.93,34.47
2021-09-21 02:00:00,40,14.15,34.82
2021-09-21 02:00:00,50,12.30,34.42
2021-09-21 02:00:00,65,10.70,34.27
2021-09-21 02:00:00,80,9.00,34.20
2021-09-21 02:00:00,100,7.16,34.05
2021-09-21 06:00:00,5,20.72,34.14
2021-09-21 06:00:00,10,20.71,34.14
2021-09-21 06:00:00,15,20.72,34.14
2021-09-21 06:00:00,20,20.71,34.13
2021-09-21 06:00:00,30,16.76,34.19
2021-09-21 06:00:00,40,13.42,34.27
2021-09-21 06:00:00,50,11.48,34.20
2021-09-21 06:00:00,65,9.76,34.13
2021-09-21 06:00:00,80,8.36,34.08
2021-09-21 06:00:00,100,7.16,34.05
2021-09-21 08:00:00,5,20.81,34.18
2021-09-21 08:00:00,10,20.82,34.18
2021-09-21 08:00:00,15,20.82,34.18
2021-09-21 08:00:00,20,20.82,34.17
2021-09-21 08:00:00,30,17.78,34.17
2021-09-21 08:00:00,40,14.48,34.29
2021-09-21 08:00:00,50,11.89,34.24
2021-09-21 08:00:00,65,10.55,34.17
2021-09-21 08:00:00,80,8.79,34.14
2021-09-25 01:00:00,5,19.42,34.35
2021-09-25 01:00:00,10,19.41,34.36
2021-09-25 01:00:00,15,19.41,34.36
2021-09-25 01:00:00,20,19.24,34.35
2021-09-25 01:00:00,30,16.87,34.33
2021-09-25 01:00:00,40,13.65,34.41
2021-09-25 01:00:00,50,11.40,34.35
2021-09-25 01:00:00,65,8.37,34.27
2021-09-25 01:00:00,80,7.52,34.24
2021-09-25 02:00:00,5,19.37,34.17
2021-09-25 02:00:00,10,19.44,34.18
2021-09-25 02:00:00,15,19.49,34.17
2021-09-25 02:00:00,20,19.48,34.18
2021-09-25 02:00:00,30,17.76,33.94
2021-09-25 02:00:00,40,13.31,34.29
2021-09-25 02:00:00,50,11.72,34.28
2021-09-25 02:00:00,65,9.91,34.02
2021-09-25 02:00:00,80,7.67,34.09
2021-09-25 05:00:00,5,19.44,34.27
2021-09-25 05:00:00,10,19.44,34.27
2021-09-25 05:00:00,15,19.44,34.27
2021-09-25 05:00:00,20,19.44,34.27
2021-09-25 05:00:00,30,19.22,34.27
2021-09-25 05:00:00,40,15.34,34.30
2021-09-25 05:00:00,50,13.08,34.33
2021-09-25 05:00:00,65,10.39,34.24
2021-09-25 05:00:00,80,8.08,34.18
2021-09-25 06:00:00,5,19.51,34.18
2021-09-25 06:00:00,10,19.53,34.17
2021-09-25 06:00:00,15,19.53,34.18
2021-09-25 06:00:00,20,19.49,34.16
2021-09-25 06:00:00,30,19.40,34.18
2021-09-25 06:00:00,40,15.27,34.23
2021-09-25 06:00:00,50,12.49,34.23
2021-09-25 06:00:00,65,10.40,34.20
2021-09-25 06:00:00,80,8.54,34.12
2021-09-26 01:00:00,5,19.58,34.18
2021-09-26 01:00:00,10,19.56,34.18
2021-09-26 01:00:00,15,19.53,34.18
2021-09-26 01:00:00,20,19.51,34.18
2021-09-26 01:00:00,30,19.35,34.18
2021-09-26 01:00:00,40,14.60,34.21
2021-09-26 02:00:00,5,19.46,34.35
2021-09-26 02:00:00,10,19.49,34.33
2021-09-26 02:00:00,15,19.50,34.32
2021-09-26 02:00:00,20,19.49,34.31
2021-09-26 02:00:00,30,19.05,34.29
2021-09-26 02:00:00,40,14.66,34.25
2021-09-26 02:00:00,50,12.81,34.28
2021-09-26 02:00:00,65,10.88,34.25
2021-09-26 02:00:00,80,8.27,34.17
2021-09-26 06:00:00,5,19.48,34.19
2021-09-26 06:00:00,10,19.48,34.18
2021-09-26 06:00:00,15,19.48,34.18
